Release,Date from,Date to,Top 1 committers commits as percent of all,Top 2 committers commits as percent of all,Top 3 committers commits as percent of all,Top 5 committers commits as percent of all,Top 10 committers commits as percent of all,Top 15 committers commits as percent of all,Top 20 committers commits as percent of all,Top 25 committers commits as percent of all,Top 30 committers commits as percent of all,Top 50 committers commits as percent of all,Top 100 committers commits as percent of all,Top 200 committers commits as percent of all,Top 500 committers commits as percent of all,Top 1000 committers commits as percent of all
2015-09-01,9/1/2015,10/1/2015,12.4%,22.1%,30.8%,44.5%,67.3%,84.1%,93.4%,96.5%,98.9%,100.0%,100.0%,100.0%,100.0%,100.0%
2015-10-01,10/1/2015,11/1/2015,11.6%,20.9%,26.8%,37.5%,58.4%,71.3%,81.9%,88.8%,94.1%,100.0%,100.0%,100.0%,100.0%,100.0%
2015-11-01,11/1/2015,12/1/2015,24.4%,32.6%,40.1%,53.1%,72.7%,82.9%,90.1%,94.0%,96.9%,100.0%,100.0%,100.0%,100.0%,100.0%
2015-12-01,12/1/2015,1/1/2016,19.7%,30.2%,38.6%,51.6%,71.0%,82.3%,89.4%,95.2%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-01-01,1/1/2016,2/1/2016,16.0%,27.0%,34.6%,47.9%,70.3%,82.8%,90.0%,94.6%,97.3%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-02-01,2/1/2016,3/1/2016,14.8%,26.6%,35.3%,48.8%,69.8%,83.1%,92.2%,96.0%,97.8%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-03-01,3/1/2016,4/1/2016,25.5%,34.1%,41.1%,53.2%,72.5%,82.1%,88.9%,93.7%,96.3%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-04-01,4/1/2016,5/1/2016,19.0%,32.1%,39.5%,51.3%,69.6%,78.6%,85.0%,89.5%,93.3%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-05-01,5/1/2016,6/1/2016,10.6%,18.0%,24.7%,35.1%,55.9%,71.6%,81.1%,88.1%,93.1%,99.6%,100.0%,100.0%,100.0%,100.0%
2016-06-01,6/1/2016,7/1/2016,10.1%,17.7%,24.3%,34.6%,52.4%,67.0%,78.3%,86.5%,91.7%,98.5%,100.0%,100.0%,100.0%,100.0%
2016-07-01,7/1/2016,8/1/2016,14.5%,21.8%,28.6%,38.0%,55.6%,66.8%,74.6%,81.1%,86.2%,97.5%,100.0%,100.0%,100.0%,100.0%
2016-08-01,8/1/2016,9/1/2016,7.8%,14.9%,20.1%,29.2%,47.8%,59.4%,68.7%,76.2%,82.0%,94.6%,100.0%,100.0%,100.0%,100.0%
2016-09-01,9/1/2016,10/1/2016,8.4%,16.6%,23.8%,32.7%,48.4%,58.7%,66.8%,72.8%,77.9%,91.7%,100.0%,100.0%,100.0%,100.0%
2016-10-01,10/1/2016,11/1/2016,7.3%,14.0%,20.1%,29.6%,44.1%,56.1%,65.4%,72.8%,78.7%,91.7%,100.0%,100.0%,100.0%,100.0%
2016-11-01,11/1/2016,12/1/2016,9.8%,18.5%,22.6%,29.8%,44.8%,55.8%,64.3%,71.3%,77.2%,91.7%,100.0%,100.0%,100.0%,100.0%
2016-12-01,12/1/2016,1/1/2017,8.2%,14.4%,19.1%,27.4%,42.3%,52.9%,61.2%,67.9%,73.6%,88.1%,99.8%,100.0%,100.0%,100.0%
2017-01-01,1/1/2017,2/1/2017,8.4%,13.2%,17.6%,25.3%,38.4%,49.4%,58.9%,66.5%,72.9%,88.7%,99.4%,100.0%,100.0%,100.0%
2017-02-01,2/1/2017,3/1/2017,10.7%,15.4%,19.7%,26.7%,40.9%,51.7%,58.3%,64.0%,69.0%,83.3%,98.5%,100.0%,100.0%,100.0%
2017-03-01,3/1/2017,4/1/2017,16.1%,22.3%,25.9%,32.8%,44.7%,54.3%,62.4%,68.6%,73.5%,87.0%,98.6%,100.0%,100.0%,100.0%
2017-04-01,4/1/2017,5/1/2017,18.9%,24.3%,28.6%,35.9%,47.8%,57.1%,63.7%,69.3%,73.8%,87.8%,99.4%,100.0%,100.0%,100.0%
2017-05-01,5/1/2017,6/1/2017,21.5%,25.7%,28.7%,34.1%,45.8%,54.6%,61.6%,67.2%,72.1%,85.3%,98.5%,100.0%,100.0%,100.0%
2017-06-01,6/1/2017,7/1/2017,15.3%,21.7%,24.9%,30.9%,44.1%,54.4%,62.2%,67.7%,72.2%,85.8%,98.9%,100.0%,100.0%,100.0%
2017-07-01,7/1/2017,8/1/2017,9.5%,16.1%,19.3%,25.5%,38.6%,49.0%,57.6%,63.8%,69.1%,83.3%,98.0%,100.0%,100.0%,100.0%
2017-08-01,8/1/2017,9/1/2017,17.7%,23.1%,28.3%,36.1%,46.7%,55.1%,61.9%,67.3%,72.0%,84.9%,97.9%,100.0%,100.0%,100.0%
2017-09-01,9/1/2017,10/1/2017,9.5%,17.3%,23.4%,32.3%,47.3%,56.8%,63.9%,70.0%,75.1%,87.7%,98.8%,100.0%,100.0%,100.0%
2017-10-01,10/1/2017,11/1/2017,11.8%,17.0%,21.8%,30.5%,43.6%,53.3%,61.0%,67.0%,72.0%,84.9%,97.7%,100.0%,100.0%,100.0%
2017-11-01,11/1/2017,12/1/2017,9.2%,14.6%,19.5%,27.7%,42.2%,52.4%,60.5%,67.0%,72.0%,86.6%,98.5%,100.0%,100.0%,100.0%
2017-12-01,12/1/2017,1/1/2018,6.9%,12.1%,17.2%,25.4%,39.1%,49.8%,58.0%,64.6%,69.9%,84.6%,98.9%,100.0%,100.0%,100.0%
2018-01-01,1/1/2018,2/1/2018,9.1%,17.3%,24.5%,35.5%,52.4%,61.1%,67.7%,73.4%,78.1%,89.7%,99.1%,100.0%,100.0%,100.0%
2018-02-01,2/1/2018,3/1/2018,8.1%,14.2%,20.2%,29.5%,46.1%,56.7%,64.6%,71.1%,76.7%,90.3%,99.8%,100.0%,100.0%,100.0%
2018-03-01,3/1/2018,4/1/2018,6.0%,11.7%,17.3%,27.5%,47.1%,56.4%,64.1%,70.3%,75.2%,89.2%,100.0%,100.0%,100.0%,100.0%
2018-04-01,4/1/2018,5/1/2018,11.5%,18.6%,23.7%,32.5%,49.4%,62.1%,71.6%,78.4%,83.4%,94.7%,100.0%,100.0%,100.0%,100.0%
