Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
06/2016,6/1/2016,7/1/2016,53.6%,62.7%,68.7%,73.6%,78.2%,81.8%,83.8%,85.1%,86.0%,86.6%,88.0%,89.5%,90.0%,90.0%,90.0%
07/2016,7/1/2016,8/1/2016,44.5%,54.5%,63.1%,68.0%,70.3%,75.5%,77.4%,78.6%,79.5%,80.2%,81.8%,83.6%,84.8%,84.8%,84.8%
08/2016,8/1/2016,9/1/2016,51.9%,60.4%,65.9%,70.6%,72.3%,77.8%,80.0%,81.4%,82.4%,83.0%,84.2%,85.5%,86.3%,86.3%,86.3%
09/2016,9/1/2016,10/1/2016,48.4%,64.2%,69.3%,73.4%,75.6%,80.7%,83.0%,84.3%,84.9%,85.4%,86.6%,88.1%,89.0%,89.0%,89.0%
10/2016,10/1/2016,11/1/2016,40.9%,53.1%,62.9%,66.9%,69.1%,75.0%,77.6%,79.1%,80.1%,80.8%,82.7%,84.7%,86.3%,86.4%,86.4%
11/2016,11/1/2016,12/1/2016,46.5%,57.0%,63.2%,67.9%,70.2%,77.2%,79.9%,81.1%,81.9%,82.5%,84.3%,86.1%,87.8%,87.9%,87.9%
12/2016,12/1/2016,1/1/2017,35.7%,51.4%,59.6%,64.9%,68.1%,75.0%,77.9%,79.7%,80.8%,81.4%,83.1%,85.5%,87.4%,87.9%,87.9%
01/2017,1/1/2017,2/1/2017,36.9%,50.3%,56.4%,62.2%,65.4%,73.7%,76.6%,78.3%,79.4%,80.2%,82.1%,84.3%,86.3%,87.1%,87.1%
02/2017,2/1/2017,3/1/2017,31.1%,46.8%,53.4%,57.2%,59.8%,67.2%,71.9%,74.8%,76.5%,77.7%,80.6%,83.7%,85.9%,86.9%,86.9%
03/2017,3/1/2017,4/1/2017,31.1%,48.6%,52.6%,55.5%,58.3%,67.8%,72.4%,74.6%,76.3%,77.4%,80.0%,82.5%,84.5%,85.6%,85.6%
04/2017,4/1/2017,5/1/2017,29.3%,42.6%,47.0%,49.5%,51.9%,61.4%,67.1%,69.7%,71.3%,72.5%,75.3%,78.3%,80.7%,81.8%,81.8%
05/2017,5/1/2017,6/1/2017,34.9%,47.3%,51.6%,54.2%,56.1%,62.9%,67.1%,69.9%,71.8%,73.0%,76.2%,79.4%,81.9%,83.0%,83.0%
06/2017,6/1/2017,7/1/2017,37.5%,53.6%,57.1%,59.6%,61.7%,67.6%,70.0%,72.1%,73.8%,75.0%,77.8%,80.3%,82.5%,83.8%,83.8%
07/2017,7/1/2017,8/1/2017,32.8%,45.5%,48.8%,51.2%,53.1%,60.7%,65.6%,68.9%,71.1%,72.6%,75.4%,78.4%,81.3%,83.0%,83.0%
08/2017,8/1/2017,9/1/2017,31.1%,42.4%,49.3%,52.4%,54.1%,60.9%,65.6%,68.6%,70.8%,72.2%,75.2%,78.1%,80.3%,82.0%,82.0%
09/2017,9/1/2017,10/1/2017,29.7%,43.4%,45.9%,48.3%,50.4%,59.6%,64.7%,67.9%,70.2%,71.9%,74.6%,77.2%,79.4%,80.7%,80.7%
10/2017,10/1/2017,11/1/2017,22.9%,35.4%,39.0%,42.4%,45.5%,55.2%,60.8%,64.6%,66.9%,68.5%,71.2%,73.7%,76.0%,77.2%,77.2%
11/2017,11/1/2017,12/1/2017,25.3%,36.0%,39.8%,43.4%,46.5%,55.7%,61.2%,64.5%,66.5%,67.9%,70.7%,73.5%,75.7%,77.1%,77.1%
12/2017,12/1/2017,1/1/2018,21.5%,30.8%,34.5%,37.6%,40.7%,51.9%,58.6%,62.1%,64.0%,65.2%,68.2%,71.6%,74.1%,75.4%,75.4%
01/2018,1/1/2018,2/1/2018,21.5%,33.3%,38.2%,41.8%,44.8%,55.4%,60.9%,64.0%,65.8%,67.0%,69.5%,72.0%,74.2%,75.3%,75.3%
02/2018,2/1/2018,3/1/2018,21.0%,33.3%,37.2%,40.3%,43.0%,51.4%,55.3%,58.4%,60.8%,62.5%,65.8%,68.8%,70.7%,71.0%,71.0%
03/2018,3/1/2018,4/1/2018,17.5%,29.6%,34.8%,37.7%,40.6%,49.2%,54.2%,57.3%,59.7%,61.6%,65.2%,68.0%,69.8%,70.2%,70.2%
04/2018,4/1/2018,5/1/2018,17.3%,25.7%,29.5%,33.3%,35.6%,44.6%,49.8%,53.1%,55.9%,58.1%,62.3%,65.2%,66.2%,66.2%,66.2%
