Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
03/2016,3/1/2016,4/1/2016,24.0%,31.1%,37.2%,42.8%,47.7%,66.0%,77.8%,84.9%,87.6%,89.8%,94.4%,98.7%,100.0%,100.0%,100.0%
04/2016,4/1/2016,5/1/2016,23.1%,36.4%,43.5%,50.6%,57.5%,70.0%,78.1%,83.3%,86.3%,88.3%,92.8%,97.4%,100.0%,100.0%,100.0%
05/2016,5/1/2016,6/1/2016,26.7%,35.1%,42.3%,48.5%,52.5%,65.1%,73.3%,79.4%,84.1%,87.0%,91.8%,97.0%,100.0%,100.0%,100.0%
06/2016,6/1/2016,7/1/2016,31.4%,37.9%,43.4%,48.4%,52.5%,68.4%,77.6%,83.2%,86.9%,88.9%,92.6%,96.6%,100.0%,100.0%,100.0%
07/2016,7/1/2016,8/1/2016,17.1%,26.5%,34.3%,39.7%,44.8%,59.8%,69.7%,77.3%,82.7%,86.4%,92.6%,97.5%,100.0%,100.0%,100.0%
08/2016,8/1/2016,9/1/2016,9.8%,18.9%,26.7%,34.2%,38.0%,55.5%,67.3%,75.0%,79.9%,82.6%,88.0%,94.2%,100.0%,100.0%,100.0%
09/2016,9/1/2016,10/1/2016,13.3%,20.2%,25.4%,30.1%,34.8%,51.0%,61.8%,70.0%,76.5%,80.0%,85.6%,92.4%,100.0%,100.0%,100.0%
10/2016,10/1/2016,11/1/2016,13.2%,19.6%,23.9%,27.9%,31.7%,49.1%,60.7%,69.5%,75.4%,79.1%,85.5%,92.4%,100.0%,100.0%,100.0%
11/2016,11/1/2016,12/1/2016,13.2%,21.7%,29.1%,34.9%,38.8%,52.9%,64.3%,73.6%,77.8%,80.2%,85.8%,92.6%,100.0%,100.0%,100.0%
12/2016,12/1/2016,1/1/2017,8.2%,15.8%,22.3%,28.1%,33.2%,55.5%,66.9%,73.7%,77.9%,80.9%,87.1%,94.6%,100.0%,100.0%,100.0%
01/2017,1/1/2017,2/1/2017,10.5%,19.1%,27.5%,32.9%,38.0%,54.7%,66.6%,75.9%,81.3%,85.0%,91.2%,96.0%,100.0%,100.0%,100.0%
02/2017,2/1/2017,3/1/2017,15.7%,24.6%,30.3%,34.8%,38.8%,54.8%,65.9%,73.9%,79.9%,83.2%,89.4%,95.8%,100.0%,100.0%,100.0%
03/2017,3/1/2017,4/1/2017,15.1%,19.6%,23.7%,27.9%,31.9%,50.4%,65.5%,75.9%,81.4%,84.3%,89.4%,94.8%,100.0%,100.0%,100.0%
04/2017,4/1/2017,5/1/2017,12.4%,19.4%,24.3%,28.9%,33.2%,50.4%,62.1%,71.7%,78.4%,83.3%,88.8%,94.3%,100.0%,100.0%,100.0%
05/2017,5/1/2017,6/1/2017,10.5%,17.6%,21.5%,25.1%,28.4%,44.0%,57.8%,70.2%,78.7%,81.9%,87.1%,93.1%,99.8%,100.0%,100.0%
06/2017,6/1/2017,7/1/2017,11.3%,17.3%,23.0%,28.0%,32.9%,51.3%,64.1%,72.8%,79.1%,83.7%,89.5%,94.5%,100.0%,100.0%,100.0%
07/2017,7/1/2017,8/1/2017,6.1%,12.1%,17.5%,22.6%,27.4%,45.9%,61.9%,72.4%,79.5%,83.6%,89.2%,94.6%,100.0%,100.0%,100.0%
08/2017,8/1/2017,9/1/2017,7.7%,15.1%,19.9%,24.4%,28.9%,47.8%,61.8%,69.9%,75.9%,80.5%,87.3%,94.1%,100.0%,100.0%,100.0%
09/2017,9/1/2017,10/1/2017,11.5%,18.9%,25.1%,29.1%,32.9%,48.7%,61.1%,70.9%,78.6%,83.5%,89.9%,95.2%,100.0%,100.0%,100.0%
10/2017,10/1/2017,11/1/2017,7.4%,13.5%,19.2%,24.6%,29.3%,48.3%,61.4%,71.5%,78.3%,83.0%,88.3%,94.4%,100.0%,100.0%,100.0%
11/2017,11/1/2017,12/1/2017,8.7%,17.2%,25.5%,30.3%,34.9%,54.6%,67.6%,76.3%,82.2%,84.9%,89.2%,93.7%,100.0%,100.0%,100.0%
12/2017,12/1/2017,1/1/2018,10.4%,18.2%,25.3%,30.3%,34.8%,52.7%,65.9%,75.1%,81.5%,85.9%,90.7%,94.9%,100.0%,100.0%,100.0%
01/2018,1/1/2018,2/1/2018,8.1%,15.2%,21.4%,27.6%,32.3%,48.2%,60.2%,68.8%,75.2%,80.3%,88.9%,94.5%,100.0%,100.0%,100.0%
02/2018,2/1/2018,3/1/2018,7.1%,13.3%,19.0%,24.4%,29.9%,48.8%,61.9%,72.1%,78.3%,82.4%,90.3%,95.6%,100.0%,100.0%,100.0%
03/2018,3/1/2018,4/1/2018,6.9%,12.5%,17.9%,23.2%,27.5%,44.8%,57.0%,67.0%,73.9%,78.6%,86.4%,92.5%,98.2%,100.0%,100.0%
04/2018,4/1/2018,5/1/2018,9.5%,17.0%,23.2%,28.3%,33.1%,49.9%,62.1%,71.3%,77.5%,81.8%,90.3%,97.7%,100.0%,100.0%,100.0%
