Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
06/2017,6/1/2017,7/1/2017,67.9%,93.4%,94.4%,95.5%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%
07/2017,7/1/2017,8/1/2017,79.8%,93.0%,96.0%,97.4%,98.5%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%
08/2017,8/1/2017,9/1/2017,83.6%,97.0%,97.6%,98.0%,98.3%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%
09/2017,9/1/2017,10/1/2017,77.0%,92.6%,93.5%,94.2%,94.7%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%
10/2017,10/1/2017,11/1/2017,81.5%,92.7%,94.1%,95.0%,95.7%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%
11/2017,11/1/2017,12/1/2017,63.8%,88.6%,89.7%,90.3%,91.0%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%
12/2017,12/1/2017,1/1/2018,62.2%,86.0%,88.4%,89.5%,90.7%,91.6%,91.6%,91.6%,91.6%,91.6%,91.6%,91.6%,91.6%,91.6%,91.6%
01/2018,1/1/2018,2/1/2018,58.6%,92.0%,94.5%,95.1%,95.6%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%,95.9%
02/2018,2/1/2018,3/1/2018,58.9%,94.4%,95.3%,95.5%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%
03/2018,3/1/2018,4/1/2018,72.0%,88.2%,89.7%,90.0%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%
04/2018,4/1/2018,5/1/2018,62.2%,79.8%,83.2%,83.2%,83.2%,83.2%,83.2%,83.2%,83.2%,83.2%,83.2%,83.2%,83.2%,83.2%,83.2%
Quarter from 01/2016,1/1/2016,4/1/2016,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%
Quarter from 04/2016,4/1/2016,7/1/2016,97.7%,98.2%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%
Quarter from 07/2016,7/1/2016,10/1/2016,78.6%,89.1%,92.3%,94.9%,95.6%,96.5%,96.5%,96.5%,96.5%,96.5%,96.5%,96.5%,96.5%,96.5%,96.5%
Quarter from 10/2016,10/1/2016,1/1/2017,80.7%,89.9%,96.2%,96.7%,97.2%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%
Quarter from 01/2017,1/1/2017,4/1/2017,71.8%,90.4%,91.8%,93.0%,93.9%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%
Quarter from 04/2017,4/1/2017,7/1/2017,62.9%,90.8%,91.3%,91.9%,92.4%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%
Quarter from 07/2017,7/1/2017,10/1/2017,80.9%,95.0%,95.6%,96.1%,96.7%,97.6%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%
Quarter from 10/2017,10/1/2017,1/1/2018,68.9%,89.0%,89.9%,90.4%,90.9%,92.5%,93.3%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%
Quarter from 01/2018,1/1/2018,4/1/2018,61.3%,92.1%,93.5%,93.8%,94.1%,94.7%,94.8%,94.8%,94.8%,94.8%,94.8%,94.8%,94.8%,94.8%,94.8%
