Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
03/2016,3/1/2016,4/1/2016,50.0%,80.2%,87.2%,91.9%,93.0%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%
04/2016,4/1/2016,5/1/2016,54.5%,70.9%,87.3%,94.5%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2016,5/1/2016,6/1/2016,67.6%,80.0%,83.8%,84.8%,85.7%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%
06/2016,6/1/2016,7/1/2016,44.6%,57.1%,64.3%,69.6%,73.2%,83.9%,83.9%,83.9%,83.9%,83.9%,83.9%,83.9%,83.9%,83.9%,83.9%
07/2016,7/1/2016,8/1/2016,56.5%,78.3%,82.6%,87.0%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%
08/2016,8/1/2016,9/1/2016,26.2%,50.0%,59.5%,69.0%,76.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%
09/2016,9/1/2016,10/1/2016,50.0%,86.4%,90.9%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%
10/2016,10/1/2016,11/1/2016,51.3%,66.7%,69.2%,71.8%,74.4%,82.1%,82.1%,82.1%,82.1%,82.1%,82.1%,82.1%,82.1%,82.1%,82.1%
11/2016,11/1/2016,12/1/2016,32.4%,56.8%,62.2%,67.6%,70.3%,83.8%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%
12/2016,12/1/2016,1/1/2017,44.4%,85.2%,92.6%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%
01/2017,1/1/2017,2/1/2017,33.3%,66.7%,83.3%,91.7%,94.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2017,2/1/2017,3/1/2017,33.3%,59.6%,80.7%,84.2%,87.7%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%
03/2017,3/1/2017,4/1/2017,21.5%,41.5%,58.5%,64.6%,67.7%,81.5%,87.7%,87.7%,87.7%,87.7%,87.7%,87.7%,87.7%,87.7%,87.7%
04/2017,4/1/2017,5/1/2017,29.8%,47.4%,57.9%,66.7%,71.9%,89.5%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%
05/2017,5/1/2017,6/1/2017,50.7%,66.2%,74.6%,81.7%,84.5%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%
06/2017,6/1/2017,7/1/2017,44.6%,74.6%,83.1%,85.4%,87.7%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%
07/2017,7/1/2017,8/1/2017,40.6%,64.1%,71.9%,76.6%,79.7%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%
08/2017,8/1/2017,9/1/2017,49.4%,80.5%,87.4%,90.8%,92.0%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%
09/2017,9/1/2017,10/1/2017,66.7%,83.3%,85.4%,87.5%,89.6%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%
10/2017,10/1/2017,11/1/2017,40.0%,64.0%,72.0%,80.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%
11/2017,11/1/2017,12/1/2017,38.3%,73.3%,78.3%,80.0%,81.7%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%
12/2017,12/1/2017,1/1/2018,45.0%,60.0%,65.0%,70.0%,75.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%
01/2018,1/1/2018,2/1/2018,54.8%,71.4%,81.0%,83.3%,85.7%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%
02/2018,2/1/2018,3/1/2018,58.8%,80.4%,82.4%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%
03/2018,3/1/2018,4/1/2018,41.4%,58.6%,69.0%,75.9%,82.8%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%
04/2018,4/1/2018,5/1/2018,61.9%,81.0%,85.7%,90.5%,95.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2015,4/1/2015,7/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2015,7/1/2015,10/1/2015,87.3%,92.2%,94.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%
Quarter from 10/2015,10/1/2015,1/1/2016,84.6%,89.7%,94.9%,97.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,50.3%,68.0%,77.1%,81.1%,84.0%,92.0%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%
Quarter from 04/2016,4/1/2016,7/1/2016,58.3%,69.9%,75.0%,78.7%,82.4%,88.4%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%
Quarter from 07/2016,7/1/2016,10/1/2016,32.2%,54.0%,71.3%,75.9%,80.5%,90.8%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%
Quarter from 10/2016,10/1/2016,1/1/2017,42.7%,68.0%,72.8%,74.8%,76.7%,83.5%,88.3%,89.3%,89.3%,89.3%,89.3%,89.3%,89.3%,89.3%,89.3%
Quarter from 01/2017,1/1/2017,4/1/2017,25.9%,48.1%,69.0%,73.4%,75.9%,86.1%,91.1%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%
Quarter from 04/2017,4/1/2017,7/1/2017,43.0%,66.3%,71.7%,76.4%,79.8%,89.1%,92.6%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%
Quarter from 07/2017,7/1/2017,10/1/2017,50.8%,70.9%,78.4%,83.4%,84.9%,89.9%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%
Quarter from 10/2017,10/1/2017,1/1/2018,36.2%,68.6%,73.3%,77.1%,80.0%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%
Quarter from 01/2018,1/1/2018,4/1/2018,53.3%,69.7%,74.6%,79.5%,82.8%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%
Quarter from 04/2018,4/1/2018,7/1/2018,61.9%,81.0%,85.7%,90.5%,95.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
