Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
04/2016,4/1/2016,5/1/2016,4.3%,8.1%,10.7%,15.0%,23.0%,29.6%,35.5%,40.8%,45.1%,58.1%,74.8%,86.5%,95.7%,100.0%
05/2016,5/1/2016,6/1/2016,3.6%,6.3%,8.4%,12.1%,20.6%,27.6%,33.3%,38.2%,42.4%,55.8%,73.5%,86.5%,95.5%,100.0%
06/2016,6/1/2016,7/1/2016,5.1%,7.9%,10.0%,14.0%,21.9%,28.0%,32.8%,37.1%,41.2%,53.7%,71.7%,85.2%,94.5%,99.8%
07/2016,7/1/2016,8/1/2016,5.1%,8.0%,9.9%,13.5%,20.5%,25.9%,30.6%,35.0%,38.9%,50.9%,68.0%,82.3%,93.2%,99.3%
08/2016,8/1/2016,9/1/2016,2.9%,5.3%,7.1%,10.2%,16.5%,21.9%,26.9%,31.7%,35.9%,48.2%,66.7%,82.0%,92.7%,98.2%
09/2016,9/1/2016,10/1/2016,2.9%,4.7%,6.4%,9.3%,16.1%,21.8%,26.7%,31.2%,35.4%,48.7%,67.1%,83.1%,92.6%,98.1%
10/2016,10/1/2016,11/1/2016,2.5%,4.9%,7.0%,10.7%,17.8%,23.6%,28.6%,33.1%,36.9%,48.3%,65.2%,79.7%,91.2%,97.1%
11/2016,11/1/2016,12/1/2016,2.0%,3.7%,5.3%,8.5%,15.4%,21.4%,26.3%,30.8%,34.8%,47.1%,65.1%,80.3%,90.9%,96.7%
12/2016,12/1/2016,1/1/2017,2.2%,4.3%,6.4%,10.3%,17.7%,22.8%,27.1%,31.0%,34.7%,46.4%,63.8%,78.2%,90.3%,96.6%
01/2017,1/1/2017,2/1/2017,3.6%,5.8%,7.9%,11.6%,18.3%,23.1%,27.6%,31.7%,35.2%,46.3%,63.1%,78.8%,90.3%,96.3%
02/2017,2/1/2017,3/1/2017,2.4%,4.7%,6.5%,9.7%,16.1%,21.4%,26.0%,30.0%,33.4%,43.0%,59.7%,75.8%,89.2%,95.9%
03/2017,3/1/2017,4/1/2017,3.9%,5.7%,7.3%,10.4%,16.8%,21.5%,25.7%,29.3%,32.5%,42.5%,60.1%,76.4%,88.3%,94.7%
04/2017,4/1/2017,5/1/2017,3.9%,6.4%,8.1%,11.0%,17.3%,22.3%,26.3%,29.8%,33.2%,43.8%,60.5%,75.3%,87.6%,94.6%
05/2017,5/1/2017,6/1/2017,3.9%,5.3%,6.7%,9.3%,14.8%,19.5%,23.7%,27.3%,30.6%,40.6%,56.8%,73.8%,87.1%,94.2%
06/2017,6/1/2017,7/1/2017,3.0%,5.0%,6.6%,9.2%,15.0%,19.8%,23.9%,27.6%,31.0%,41.5%,57.9%,74.8%,87.6%,94.5%
07/2017,7/1/2017,8/1/2017,2.0%,3.9%,5.7%,8.8%,14.4%,19.1%,23.2%,27.0%,30.5%,41.1%,57.9%,73.3%,86.4%,93.6%
08/2017,8/1/2017,9/1/2017,4.2%,7.4%,9.3%,12.6%,18.1%,22.4%,26.1%,29.3%,32.1%,41.5%,57.6%,73.2%,86.7%,93.5%
09/2017,9/1/2017,10/1/2017,2.3%,4.4%,6.5%,10.4%,17.4%,22.6%,26.3%,29.8%,32.9%,43.1%,58.9%,73.6%,87.0%,94.0%
10/2017,10/1/2017,11/1/2017,2.8%,5.3%,7.2%,10.3%,15.9%,20.1%,23.9%,27.2%,30.2%,40.1%,56.0%,71.6%,85.4%,92.4%
11/2017,11/1/2017,12/1/2017,2.7%,4.7%,6.4%,9.4%,15.3%,19.6%,23.4%,26.8%,29.7%,39.3%,55.6%,70.5%,83.7%,91.0%
12/2017,12/1/2017,1/1/2018,2.7%,4.8%,6.4%,9.4%,15.3%,20.3%,24.5%,28.0%,31.1%,40.5%,56.2%,70.5%,83.8%,91.7%
01/2018,1/1/2018,2/1/2018,2.6%,4.9%,7.1%,10.3%,15.7%,19.7%,23.3%,26.6%,29.6%,38.7%,53.2%,67.7%,81.9%,89.8%
02/2018,2/1/2018,3/1/2018,2.4%,4.2%,5.9%,8.7%,14.1%,18.0%,21.4%,24.2%,26.9%,35.0%,48.7%,64.0%,80.5%,89.1%
03/2018,3/1/2018,4/1/2018,3.1%,6.1%,8.1%,11.6%,17.4%,21.6%,25.0%,28.1%,30.8%,39.1%,52.3%,66.2%,80.4%,88.7%
04/2018,4/1/2018,5/1/2018,2.8%,4.9%,7.0%,10.9%,16.7%,21.0%,24.5%,27.6%,30.3%,39.4%,53.9%,68.6%,84.3%,94.3%
