Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
04/2014,4/1/2014,5/1/2014,72.2%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%
05/2014,5/1/2014,6/1/2014,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2014,6/1/2014,7/1/2014,30.8%,30.8%,30.8%,30.8%,30.8%,30.8%,30.8%,30.8%,30.8%,30.8%,30.8%,30.8%,30.8%,30.8%,30.8%
07/2014,7/1/2014,8/1/2014,59.5%,83.8%,89.2%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%
08/2014,8/1/2014,9/1/2014,75.0%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%
09/2014,9/1/2014,10/1/2014,63.9%,83.3%,86.1%,86.1%,86.1%,86.1%,86.1%,86.1%,86.1%,86.1%,86.1%,86.1%,86.1%,86.1%,86.1%
10/2014,10/1/2014,11/1/2014,64.1%,79.5%,92.3%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%
11/2014,11/1/2014,12/1/2014,66.7%,76.2%,83.3%,90.5%,90.5%,90.5%,90.5%,90.5%,90.5%,90.5%,90.5%,90.5%,90.5%,90.5%,90.5%
12/2014,12/1/2014,1/1/2015,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%
01/2015,1/1/2015,2/1/2015,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%
02/2015,2/1/2015,3/1/2015,40.0%,72.0%,72.0%,72.0%,72.0%,72.0%,72.0%,72.0%,72.0%,72.0%,72.0%,72.0%,72.0%,72.0%,72.0%
03/2015,3/1/2015,4/1/2015,54.2%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%
04/2015,4/1/2015,5/1/2015,57.1%,57.1%,57.1%,57.1%,57.1%,57.1%,57.1%,57.1%,57.1%,57.1%,57.1%,57.1%,57.1%,57.1%,57.1%
05/2015,5/1/2015,6/1/2015,75.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2015,6/1/2015,7/1/2015,97.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%
07/2015,7/1/2015,8/1/2015,70.0%,80.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%
08/2015,8/1/2015,9/1/2015,84.1%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%
09/2015,9/1/2015,10/1/2015,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%
10/2015,10/1/2015,11/1/2015,88.3%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%
11/2015,11/1/2015,12/1/2015,90.0%,90.3%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%
12/2015,12/1/2015,1/1/2016,89.4%,89.7%,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%,89.9%
01/2016,1/1/2016,2/1/2016,76.3%,77.0%,77.5%,77.7%,78.0%,78.0%,78.0%,78.0%,78.0%,78.0%,78.0%,78.0%,78.0%,78.0%,78.0%
02/2016,2/1/2016,3/1/2016,81.4%,81.6%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%
03/2016,3/1/2016,4/1/2016,85.5%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%
04/2016,4/1/2016,5/1/2016,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%
05/2016,5/1/2016,6/1/2016,84.0%,84.6%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%
06/2016,6/1/2016,7/1/2016,79.7%,80.1%,80.4%,80.8%,80.8%,80.8%,80.8%,80.8%,80.8%,80.8%,80.8%,80.8%,80.8%,80.8%,80.8%
07/2016,7/1/2016,8/1/2016,87.5%,88.4%,88.7%,89.0%,89.2%,89.2%,89.2%,89.2%,89.2%,89.2%,89.2%,89.2%,89.2%,89.2%,89.2%
08/2016,8/1/2016,9/1/2016,93.5%,93.6%,93.7%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%
09/2016,9/1/2016,10/1/2016,85.3%,85.5%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%
10/2016,10/1/2016,11/1/2016,88.8%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%
11/2016,11/1/2016,12/1/2016,85.9%,85.9%,85.9%,85.9%,85.9%,85.9%,85.9%,85.9%,85.9%,85.9%,85.9%,85.9%,85.9%,85.9%,85.9%
12/2016,12/1/2016,1/1/2017,87.9%,88.7%,89.5%,89.7%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%
01/2017,1/1/2017,2/1/2017,83.9%,84.2%,84.2%,84.2%,84.2%,84.2%,84.2%,84.2%,84.2%,84.2%,84.2%,84.2%,84.2%,84.2%,84.2%
02/2017,2/1/2017,3/1/2017,84.0%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%
03/2017,3/1/2017,4/1/2017,89.8%,90.1%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%
04/2017,4/1/2017,5/1/2017,86.9%,87.5%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%
05/2017,5/1/2017,6/1/2017,78.0%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%
06/2017,6/1/2017,7/1/2017,57.7%,88.2%,89.3%,89.3%,89.3%,89.3%,89.3%,89.3%,89.3%,89.3%,89.3%,89.3%,89.3%,89.3%,89.3%
07/2017,7/1/2017,8/1/2017,79.4%,86.8%,87.4%,87.4%,87.4%,87.4%,87.4%,87.4%,87.4%,87.4%,87.4%,87.4%,87.4%,87.4%,87.4%
08/2017,8/1/2017,9/1/2017,79.9%,88.3%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%
09/2017,9/1/2017,10/1/2017,60.9%,86.1%,86.5%,86.9%,87.2%,87.6%,87.6%,87.6%,87.6%,87.6%,87.6%,87.6%,87.6%,87.6%,87.6%
10/2017,10/1/2017,11/1/2017,74.3%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%
11/2017,11/1/2017,12/1/2017,49.0%,75.7%,75.7%,75.7%,75.7%,75.7%,75.7%,75.7%,75.7%,75.7%,75.7%,75.7%,75.7%,75.7%,75.7%
12/2017,12/1/2017,1/1/2018,64.2%,72.8%,72.8%,72.8%,72.8%,72.8%,72.8%,72.8%,72.8%,72.8%,72.8%,72.8%,72.8%,72.8%,72.8%
01/2018,1/1/2018,2/1/2018,83.3%,83.8%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%
02/2018,2/1/2018,3/1/2018,86.5%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%
03/2018,3/1/2018,4/1/2018,89.0%,90.0%,90.2%,90.4%,90.5%,90.5%,90.5%,90.5%,90.5%,90.5%,90.5%,90.5%,90.5%,90.5%,90.5%
04/2018,4/1/2018,5/1/2018,84.4%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%
Quarter from 01/2014,1/1/2014,4/1/2014,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%,60.0%
Quarter from 04/2014,4/1/2014,7/1/2014,66.7%,71.4%,71.4%,71.4%,71.4%,71.4%,71.4%,71.4%,71.4%,71.4%,71.4%,71.4%,71.4%,71.4%,71.4%
Quarter from 07/2014,7/1/2014,10/1/2014,64.9%,74.2%,81.4%,83.5%,85.6%,87.6%,87.6%,87.6%,87.6%,87.6%,87.6%,87.6%,87.6%,87.6%,87.6%
Quarter from 10/2014,10/1/2014,1/1/2015,68.4%,77.9%,87.4%,91.6%,91.6%,91.6%,91.6%,91.6%,91.6%,91.6%,91.6%,91.6%,91.6%,91.6%,91.6%
Quarter from 01/2015,1/1/2015,4/1/2015,55.4%,67.7%,69.2%,69.2%,69.2%,69.2%,69.2%,69.2%,69.2%,69.2%,69.2%,69.2%,69.2%,69.2%,69.2%
Quarter from 04/2015,4/1/2015,7/1/2015,89.9%,95.0%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%
Quarter from 07/2015,7/1/2015,10/1/2015,75.7%,76.4%,76.7%,77.0%,77.0%,77.0%,77.0%,77.0%,77.0%,77.0%,77.0%,77.0%,77.0%,77.0%,77.0%
Quarter from 10/2015,10/1/2015,1/1/2016,89.3%,89.8%,90.0%,90.1%,90.2%,90.2%,90.2%,90.2%,90.2%,90.2%,90.2%,90.2%,90.2%,90.2%,90.2%
Quarter from 01/2016,1/1/2016,4/1/2016,80.5%,80.7%,80.9%,81.1%,81.2%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%
Quarter from 04/2016,4/1/2016,7/1/2016,84.7%,85.0%,85.1%,85.2%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%
Quarter from 07/2016,7/1/2016,10/1/2016,90.0%,90.3%,90.4%,90.4%,90.5%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%
Quarter from 10/2016,10/1/2016,1/1/2017,87.6%,87.9%,88.1%,88.2%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%
Quarter from 01/2017,1/1/2017,4/1/2017,86.0%,86.1%,86.2%,86.3%,86.4%,86.4%,86.4%,86.4%,86.4%,86.4%,86.4%,86.4%,86.4%,86.4%,86.4%
Quarter from 04/2017,4/1/2017,7/1/2017,74.1%,85.6%,86.1%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%
Quarter from 07/2017,7/1/2017,10/1/2017,74.4%,87.2%,87.5%,87.7%,87.8%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%
Quarter from 10/2017,10/1/2017,1/1/2018,63.9%,80.8%,80.8%,80.8%,80.8%,80.8%,80.8%,80.8%,80.8%,80.8%,80.8%,80.8%,80.8%,80.8%,80.8%
Quarter from 01/2018,1/1/2018,4/1/2018,87.5%,88.0%,88.2%,88.3%,88.3%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%
Quarter from 04/2018,4/1/2018,7/1/2018,84.4%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%,85.3%
