Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
11/2016,11/1/2016,12/1/2016,31.4%,48.3%,61.2%,73.5%,79.2%,90.7%,94.6%,96.4%,97.7%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2016,12/1/2016,1/1/2017,47.6%,60.8%,69.7%,77.6%,82.6%,90.0%,92.6%,94.2%,95.5%,96.8%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2017,1/1/2017,2/1/2017,41.0%,52.8%,64.3%,70.8%,76.4%,89.4%,92.9%,95.3%,96.9%,98.4%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2017,2/1/2017,3/1/2017,23.2%,39.6%,55.3%,70.6%,77.8%,88.7%,93.2%,95.6%,97.3%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2017,3/1/2017,4/1/2017,28.3%,45.2%,60.3%,70.8%,76.1%,92.1%,94.2%,95.6%,97.1%,98.5%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2017,4/1/2017,5/1/2017,43.3%,62.2%,75.6%,79.6%,82.3%,88.7%,92.1%,94.2%,95.7%,97.3%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2017,5/1/2017,6/1/2017,31.2%,44.8%,56.4%,66.5%,71.8%,85.2%,90.5%,93.8%,96.1%,97.6%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2017,6/1/2017,7/1/2017,30.5%,52.4%,66.6%,77.2%,84.9%,92.0%,95.0%,96.4%,97.9%,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2017,7/1/2017,8/1/2017,48.7%,60.6%,67.7%,74.5%,79.7%,89.7%,93.2%,95.5%,97.1%,98.7%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2017,8/1/2017,9/1/2017,44.3%,59.3%,70.5%,78.6%,83.0%,91.9%,93.6%,94.9%,96.2%,97.5%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2017,9/1/2017,10/1/2017,34.3%,59.5%,73.7%,80.3%,85.4%,89.8%,92.7%,94.5%,96.4%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2017,10/1/2017,11/1/2017,40.2%,57.8%,71.7%,78.3%,84.1%,91.0%,93.6%,95.1%,96.5%,98.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2017,11/1/2017,12/1/2017,26.7%,52.7%,62.1%,67.5%,72.0%,81.9%,86.0%,90.1%,93.0%,95.1%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2017,12/1/2017,1/1/2018,35.2%,46.9%,55.6%,63.0%,69.1%,80.2%,86.4%,89.5%,92.6%,95.7%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2018,1/1/2018,2/1/2018,40.3%,66.7%,77.8%,82.4%,83.8%,88.4%,92.1%,94.4%,96.8%,99.1%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2018,2/1/2018,3/1/2018,40.7%,57.9%,74.7%,86.5%,87.9%,91.9%,94.6%,96.3%,98.0%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2018,3/1/2018,4/1/2018,38.3%,58.1%,75.4%,83.4%,89.0%,92.4%,94.0%,95.3%,96.4%,97.1%,99.7%,100.0%,100.0%,100.0%,100.0%
04/2018,4/1/2018,5/1/2018,32.1%,58.7%,69.7%,78.0%,84.4%,94.5%,99.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2014,1/1/2014,4/1/2014,60.0%,72.0%,84.0%,88.0%,92.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2014,4/1/2014,7/1/2014,64.3%,81.0%,88.1%,92.9%,95.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2014,7/1/2014,10/1/2014,57.7%,67.0%,74.2%,78.4%,81.4%,92.8%,97.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2014,10/1/2014,1/1/2015,63.2%,72.6%,82.1%,87.4%,91.6%,97.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2015,1/1/2015,4/1/2015,38.5%,55.4%,67.7%,76.9%,81.5%,90.8%,98.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2015,4/1/2015,7/1/2015,82.4%,87.4%,92.4%,95.0%,96.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2015,7/1/2015,10/1/2015,65.0%,72.8%,80.3%,81.9%,83.2%,89.0%,92.2%,93.9%,95.5%,97.1%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2015,10/1/2015,1/1/2016,23.4%,46.1%,61.2%,74.2%,84.9%,92.0%,93.9%,95.6%,96.8%,97.9%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,23.7%,39.0%,52.8%,63.3%,73.3%,93.8%,95.2%,96.0%,96.9%,97.7%,99.5%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,25.1%,41.9%,55.2%,66.9%,78.4%,88.1%,90.4%,91.9%,93.3%,94.3%,96.9%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2016,7/1/2016,10/1/2016,30.8%,54.0%,67.0%,73.3%,79.2%,90.8%,92.4%,93.6%,94.6%,95.4%,97.3%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2016,10/1/2016,1/1/2017,28.7%,55.4%,64.6%,72.6%,79.8%,89.4%,91.3%,92.7%,93.9%,94.9%,97.1%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2017,1/1/2017,4/1/2017,28.9%,45.4%,56.2%,64.1%,71.9%,88.7%,91.2%,92.6%,93.6%,94.5%,96.6%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2017,4/1/2017,7/1/2017,32.0%,47.6%,59.1%,69.5%,74.8%,86.7%,88.8%,90.4%,91.7%,92.7%,96.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2017,7/1/2017,10/1/2017,42.9%,55.5%,67.0%,72.6%,77.7%,88.9%,90.7%,91.9%,92.9%,94.0%,96.1%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2017,10/1/2017,1/1/2018,34.5%,51.4%,62.8%,71.5%,75.5%,83.0%,85.4%,87.4%,89.1%,90.4%,94.3%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2018,1/1/2018,4/1/2018,39.2%,56.9%,70.7%,84.0%,87.4%,89.4%,91.0%,92.1%,92.9%,93.7%,96.3%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2018,4/1/2018,7/1/2018,32.1%,58.7%,69.7%,78.0%,84.4%,94.5%,99.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
