Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
08/2014,8/1/2014,9/1/2014,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%
09/2014,9/1/2014,10/1/2014,,,,,,,,,,,,,,,
10/2014,10/1/2014,11/1/2014,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%
11/2014,11/1/2014,12/1/2014,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%
12/2014,12/1/2014,1/1/2015,,,,,,,,,,,,,,,
01/2015,1/1/2015,2/1/2015,57.9%,57.9%,57.9%,57.9%,57.9%,57.9%,57.9%,57.9%,57.9%,57.9%,57.9%,57.9%,57.9%,57.9%,57.9%
02/2015,2/1/2015,3/1/2015,75.0%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%
03/2015,3/1/2015,4/1/2015,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%
04/2015,4/1/2015,5/1/2015,77.3%,77.3%,77.3%,77.3%,77.3%,77.3%,77.3%,77.3%,77.3%,77.3%,77.3%,77.3%,77.3%,77.3%,77.3%
05/2015,5/1/2015,6/1/2015,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%,70.6%
06/2015,6/1/2015,7/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2015,7/1/2015,8/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2015,8/1/2015,9/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2015,9/1/2015,10/1/2015,,,,,,,,,,,,,,,
10/2015,10/1/2015,11/1/2015,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%
11/2015,11/1/2015,12/1/2015,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%,62.5%
12/2015,12/1/2015,1/1/2016,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%
01/2016,1/1/2016,2/1/2016,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%
02/2016,2/1/2016,3/1/2016,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%
03/2016,3/1/2016,4/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2016,4/1/2016,5/1/2016,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%
05/2016,5/1/2016,6/1/2016,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%
06/2016,6/1/2016,7/1/2016,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%
07/2016,7/1/2016,8/1/2016,68.8%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%
08/2016,8/1/2016,9/1/2016,69.2%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%
09/2016,9/1/2016,10/1/2016,45.6%,48.1%,48.1%,48.1%,48.1%,48.1%,48.1%,48.1%,48.1%,48.1%,48.1%,48.1%,48.1%,48.1%,48.1%
10/2016,10/1/2016,11/1/2016,53.5%,54.5%,54.5%,54.5%,54.5%,54.5%,54.5%,54.5%,54.5%,54.5%,54.5%,54.5%,54.5%,54.5%,54.5%
11/2016,11/1/2016,12/1/2016,72.9%,73.8%,73.8%,73.8%,73.8%,73.8%,73.8%,73.8%,73.8%,73.8%,73.8%,73.8%,73.8%,73.8%,73.8%
12/2016,12/1/2016,1/1/2017,52.5%,57.6%,57.6%,57.6%,57.6%,57.6%,57.6%,57.6%,57.6%,57.6%,57.6%,57.6%,57.6%,57.6%,57.6%
01/2017,1/1/2017,2/1/2017,81.8%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%
02/2017,2/1/2017,3/1/2017,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%
03/2017,3/1/2017,4/1/2017,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2017,4/1/2017,5/1/2017,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%
05/2017,5/1/2017,6/1/2017,83.6%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%
06/2017,6/1/2017,7/1/2017,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%
07/2017,7/1/2017,8/1/2017,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%
08/2017,8/1/2017,9/1/2017,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%
09/2017,9/1/2017,10/1/2017,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%
10/2017,10/1/2017,11/1/2017,91.5%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%
11/2017,11/1/2017,12/1/2017,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%
12/2017,12/1/2017,1/1/2018,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%
01/2018,1/1/2018,2/1/2018,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%
02/2018,2/1/2018,3/1/2018,81.7%,88.7%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%
03/2018,3/1/2018,4/1/2018,93.5%,95.2%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%
04/2018,4/1/2018,5/1/2018,98.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2014,1/1/2014,4/1/2014,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%
Quarter from 04/2014,4/1/2014,7/1/2014,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%,83.6%
Quarter from 07/2014,7/1/2014,10/1/2014,81.1%,81.1%,81.1%,81.1%,81.1%,81.1%,81.1%,81.1%,81.1%,81.1%,81.1%,81.1%,81.1%,81.1%,81.1%
Quarter from 10/2014,10/1/2014,1/1/2015,79.2%,79.2%,79.2%,79.2%,79.2%,79.2%,79.2%,79.2%,79.2%,79.2%,79.2%,79.2%,79.2%,79.2%,79.2%
Quarter from 01/2015,1/1/2015,4/1/2015,65.8%,68.4%,68.4%,68.4%,68.4%,68.4%,68.4%,68.4%,68.4%,68.4%,68.4%,68.4%,68.4%,68.4%,68.4%
Quarter from 04/2015,4/1/2015,7/1/2015,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%
Quarter from 07/2015,7/1/2015,10/1/2015,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%
Quarter from 10/2015,10/1/2015,1/1/2016,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%,58.3%
Quarter from 01/2016,1/1/2016,4/1/2016,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%
Quarter from 04/2016,4/1/2016,7/1/2016,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%
Quarter from 07/2016,7/1/2016,10/1/2016,57.5%,60.6%,61.9%,61.9%,61.9%,61.9%,61.9%,61.9%,61.9%,61.9%,61.9%,61.9%,61.9%,61.9%,61.9%
Quarter from 10/2016,10/1/2016,1/1/2017,61.1%,62.6%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%,63.0%
Quarter from 01/2017,1/1/2017,4/1/2017,86.1%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%
Quarter from 04/2017,4/1/2017,7/1/2017,84.5%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%
Quarter from 07/2017,7/1/2017,10/1/2017,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%
Quarter from 10/2017,10/1/2017,1/1/2018,93.0%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%,94.7%
Quarter from 01/2018,1/1/2018,4/1/2018,91.6%,93.5%,94.5%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%
Quarter from 04/2018,4/1/2018,7/1/2018,98.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
