Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
v1.7.0 - v1.8.0,6/29/2017,9/28/2017,5.1%,8.9%,11.1%,13.1%,14.8%,21.7%,27.2%,32.3%,36.7%,40.4%,50.4%,65.5%,78.0%,88.1%,93.7%
v1.8.0 - v1.9.0,9/28/2017,12/15/2017,3.3%,6.5%,8.9%,10.8%,12.5%,19.3%,24.7%,29.4%,33.5%,36.9%,47.7%,62.6%,75.5%,86.0%,92.2%
v1.9.0 - v1.10.0,12/15/2017,3/26/2018,2.5%,4.3%,5.9%,7.4%,8.6%,14.5%,18.8%,22.7%,26.2%,29.3%,39.4%,54.2%,68.7%,81.1%,88.4%
v1.10.0 - v1.11.0,3/26/2018,6/27/2018,2.3%,4.3%,5.9%,7.2%,8.5%,13.7%,18.1%,21.9%,25.3%,28.3%,37.8%,52.8%,66.1%,79.4%,87.1%
v1.11.0 - v1.12.0,6/27/2018,9/27/2018,2.1%,3.8%,5.4%,6.8%,8.2%,13.7%,17.9%,21.4%,24.6%,27.4%,35.9%,48.9%,61.8%,75.8%,84.8%
v1.12.0 - v1.13.0,9/27/2018,12/3/2018,1.5%,3.0%,4.4%,5.8%,7.0%,12.0%,16.5%,20.2%,23.4%,26.3%,35.2%,48.8%,61.7%,76.6%,86.5%
v1.13.0 - v1.14.0,12/3/2018,3/25/2019,3.7%,5.0%,6.0%,7.0%,7.9%,12.2%,15.7%,18.7%,21.4%,23.9%,31.4%,43.3%,55.7%,70.5%,80.1%
v1.14.0 - now,3/25/2019,4/5/2019,4.8%,7.5%,9.0%,10.4%,11.6%,17.3%,21.8%,25.5%,28.8%,31.7%,40.2%,52.3%,66.5%,85.4%,100.0%
2014,6/1/2014,1/1/2015,16.2%,28.3%,34.8%,41.1%,47.0%,61.7%,68.2%,72.7%,76.4%,79.8%,88.0%,94.9%,98.1%,100.0%,100.0%
2015,1/1/2015,1/1/2016,4.5%,8.9%,13.2%,16.4%,19.2%,32.7%,43.0%,52.2%,59.4%,65.1%,78.9%,87.7%,92.2%,96.7%,99.0%
2016,1/1/2016,1/1/2017,3.9%,6.8%,9.0%,11.1%,13.1%,21.9%,29.1%,35.3%,40.2%,44.2%,56.8%,73.4%,83.2%,90.3%,94.1%
2017,1/1/2017,1/1/2018,4.6%,6.9%,9.1%,11.2%,12.7%,19.1%,24.3%,28.8%,32.8%,36.5%,46.5%,61.7%,74.3%,84.5%,89.5%
2018,1/1/2018,1/1/2019,1.9%,3.0%,4.1%,5.1%,6.0%,10.4%,14.2%,17.3%,20.1%,22.7%,31.3%,44.9%,58.0%,72.2%,79.6%
2019,1/1/2019,4/5/2019,4.2%,5.5%,6.6%,7.5%,8.5%,12.6%,16.2%,19.3%,22.1%,24.6%,32.2%,44.8%,57.5%,72.2%,81.9%
06/2014,6/1/2014,7/1/2014,30.8%,59.3%,67.8%,75.0%,80.6%,88.5%,92.3%,94.6%,96.2%,97.3%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2014,7/1/2014,8/1/2014,20.0%,37.8%,48.3%,55.2%,60.0%,72.7%,80.9%,85.8%,89.6%,92.1%,96.9%,100.0%,100.0%,100.0%,100.0%
08/2014,8/1/2014,9/1/2014,17.3%,32.4%,43.7%,50.3%,55.9%,71.6%,80.5%,85.7%,89.4%,91.7%,96.7%,100.0%,100.0%,100.0%,100.0%
09/2014,9/1/2014,10/1/2014,18.6%,27.7%,36.3%,44.1%,49.3%,64.0%,73.8%,80.8%,85.6%,88.8%,95.4%,100.0%,100.0%,100.0%,100.0%
10/2014,10/1/2014,11/1/2014,11.2%,21.0%,30.3%,39.0%,45.2%,68.1%,80.7%,86.8%,90.5%,92.7%,96.8%,99.6%,100.0%,100.0%,100.0%
11/2014,11/1/2014,12/1/2014,11.3%,20.4%,27.8%,34.8%,41.0%,61.2%,73.9%,79.6%,84.1%,87.5%,94.0%,99.0%,100.0%,100.0%,100.0%
12/2014,12/1/2014,1/1/2015,14.2%,23.4%,29.7%,35.0%,39.0%,52.6%,63.4%,70.8%,77.1%,81.9%,91.4%,98.5%,100.0%,100.0%,100.0%
01/2015,1/1/2015,2/1/2015,12.4%,22.4%,30.8%,37.8%,44.8%,70.3%,79.1%,83.6%,87.2%,89.5%,94.0%,98.6%,100.0%,100.0%,100.0%
02/2015,2/1/2015,3/1/2015,8.7%,16.9%,25.2%,30.0%,34.7%,54.7%,67.7%,76.7%,80.9%,84.2%,90.8%,97.5%,100.0%,100.0%,100.0%
03/2015,3/1/2015,4/1/2015,11.1%,18.5%,23.8%,28.7%,33.2%,51.3%,64.6%,73.4%,78.7%,83.1%,91.5%,97.6%,100.0%,100.0%,100.0%
04/2015,4/1/2015,5/1/2015,5.7%,11.0%,16.1%,21.2%,25.8%,42.8%,55.8%,65.5%,73.0%,78.3%,87.9%,94.8%,99.4%,100.0%,100.0%
05/2015,5/1/2015,6/1/2015,8.1%,16.0%,20.9%,24.4%,27.8%,42.2%,53.9%,63.8%,71.5%,76.9%,87.5%,94.8%,98.9%,100.0%,100.0%
06/2015,6/1/2015,7/1/2015,7.3%,14.0%,20.1%,24.5%,28.9%,47.1%,58.5%,67.3%,73.4%,77.4%,86.1%,93.9%,98.5%,100.0%,100.0%
07/2015,7/1/2015,8/1/2015,10.0%,19.7%,27.1%,32.9%,37.1%,54.5%,64.9%,71.9%,76.7%,80.5%,87.3%,93.7%,97.9%,100.0%,100.0%
08/2015,8/1/2015,9/1/2015,4.9%,9.8%,13.9%,17.8%,21.6%,38.1%,50.9%,60.1%,65.7%,69.9%,80.2%,89.4%,96.1%,100.0%,100.0%
09/2015,9/1/2015,10/1/2015,6.9%,11.1%,15.2%,19.0%,22.6%,37.1%,49.4%,58.0%,64.0%,68.5%,80.5%,91.1%,96.9%,100.0%,100.0%
10/2015,10/1/2015,11/1/2015,5.0%,9.6%,13.8%,17.4%,21.0%,35.0%,46.4%,56.4%,64.7%,70.4%,83.2%,92.6%,97.7%,100.0%,100.0%
11/2015,11/1/2015,12/1/2015,6.3%,10.3%,14.1%,17.5%,20.8%,33.9%,43.9%,50.9%,56.7%,61.4%,73.7%,86.5%,94.8%,100.0%,100.0%
12/2015,12/1/2015,1/1/2016,8.0%,14.6%,20.7%,25.6%,29.9%,41.5%,50.4%,57.8%,63.1%,67.6%,78.7%,88.8%,95.5%,100.0%,100.0%
01/2016,1/1/2016,2/1/2016,6.1%,11.1%,15.7%,20.1%,24.1%,39.4%,49.7%,57.7%,64.1%,69.0%,80.3%,89.9%,95.9%,100.0%,100.0%
02/2016,2/1/2016,3/1/2016,5.2%,10.0%,14.2%,17.9%,21.5%,35.1%,45.9%,54.4%,60.8%,66.2%,79.1%,89.8%,95.9%,100.0%,100.0%
03/2016,3/1/2016,4/1/2016,8.7%,14.0%,19.0%,23.7%,27.7%,39.7%,48.3%,54.9%,59.7%,63.6%,74.3%,84.7%,92.1%,100.0%,100.0%
04/2016,4/1/2016,5/1/2016,4.5%,9.0%,12.2%,15.5%,18.3%,29.4%,38.5%,45.1%,50.6%,55.1%,67.5%,80.4%,90.2%,100.0%,100.0%
05/2016,5/1/2016,6/1/2016,3.7%,7.4%,11.0%,14.5%,17.8%,32.1%,42.2%,49.8%,55.7%,60.3%,72.2%,85.0%,92.4%,100.0%,100.0%
06/2016,6/1/2016,7/1/2016,5.3%,9.1%,12.7%,15.9%,18.9%,30.7%,39.6%,47.6%,53.4%,58.0%,70.6%,83.9%,92.3%,99.4%,100.0%
07/2016,7/1/2016,8/1/2016,10.5%,14.6%,17.1%,19.2%,21.3%,30.2%,37.4%,43.2%,48.5%,52.6%,64.2%,77.5%,87.3%,97.1%,100.0%
08/2016,8/1/2016,9/1/2016,5.1%,8.3%,11.0%,13.3%,15.4%,25.4%,33.2%,39.9%,45.3%,49.9%,62.5%,78.3%,88.3%,97.1%,100.0%
09/2016,9/1/2016,10/1/2016,5.3%,8.6%,11.6%,14.3%,16.8%,27.2%,35.2%,41.3%,46.5%,51.1%,63.9%,81.0%,89.5%,97.3%,100.0%
10/2016,10/1/2016,11/1/2016,4.4%,8.2%,11.4%,14.1%,16.4%,27.0%,35.0%,41.2%,46.2%,50.3%,61.6%,75.0%,86.1%,95.4%,100.0%
11/2016,11/1/2016,12/1/2016,3.6%,6.7%,9.6%,12.4%,15.0%,26.1%,34.2%,40.5%,45.5%,50.1%,62.8%,77.9%,87.4%,96.0%,100.0%
12/2016,12/1/2016,1/1/2017,3.7%,7.2%,10.5%,13.7%,16.9%,26.8%,33.5%,39.2%,44.2%,48.6%,60.5%,75.6%,86.1%,95.6%,100.0%
01/2017,1/1/2017,2/1/2017,6.3%,10.1%,13.8%,17.0%,20.0%,28.5%,35.5%,41.1%,46.2%,50.4%,62.2%,77.0%,86.2%,95.2%,100.0%
02/2017,2/1/2017,3/1/2017,4.4%,8.6%,11.7%,14.3%,16.6%,25.4%,31.3%,35.8%,39.7%,43.5%,55.1%,71.4%,83.7%,94.5%,100.0%
03/2017,3/1/2017,4/1/2017,6.5%,9.5%,12.1%,14.5%,16.8%,25.0%,31.6%,37.2%,41.9%,46.0%,58.6%,74.0%,84.4%,93.6%,99.2%
04/2017,4/1/2017,5/1/2017,7.5%,10.3%,13.0%,15.6%,18.1%,27.4%,33.9%,39.0%,43.3%,47.3%,58.4%,71.4%,81.6%,92.4%,99.4%
05/2017,5/1/2017,6/1/2017,7.3%,10.1%,12.7%,15.0%,17.2%,25.8%,32.5%,37.9%,42.3%,45.9%,56.6%,70.9%,81.6%,92.3%,98.9%
06/2017,6/1/2017,7/1/2017,5.4%,9.0%,11.5%,13.8%,15.7%,24.2%,31.5%,37.5%,42.3%,46.3%,57.4%,72.7%,82.9%,92.7%,99.1%
07/2017,7/1/2017,8/1/2017,3.8%,7.2%,9.3%,11.5%,13.6%,22.4%,29.2%,34.3%,38.4%,42.2%,53.2%,68.2%,79.9%,91.0%,98.2%
08/2017,8/1/2017,9/1/2017,7.4%,10.9%,14.1%,16.3%,18.3%,25.9%,31.5%,36.1%,40.2%,43.8%,55.0%,70.4%,81.9%,92.2%,98.0%
09/2017,9/1/2017,10/1/2017,4.2%,8.0%,11.7%,14.5%,17.2%,27.3%,33.4%,38.4%,42.5%,46.4%,55.5%,69.0%,81.0%,91.6%,98.1%
10/2017,10/1/2017,11/1/2017,5.4%,9.2%,12.5%,14.6%,16.4%,23.7%,29.3%,34.2%,38.5%,42.2%,52.6%,66.8%,79.2%,90.2%,97.1%
11/2017,11/1/2017,12/1/2017,3.3%,6.3%,8.9%,10.8%,12.7%,19.7%,24.9%,29.7%,33.9%,37.7%,49.2%,64.0%,76.7%,88.9%,96.5%
12/2017,12/1/2017,1/1/2018,2.4%,4.8%,6.7%,8.5%,10.4%,18.4%,24.7%,29.5%,33.4%,37.1%,48.3%,62.3%,74.9%,88.1%,96.8%
01/2018,1/1/2018,2/1/2018,3.7%,6.2%,8.3%,10.0%,11.6%,19.1%,24.8%,29.3%,33.2%,36.6%,47.1%,61.7%,74.9%,86.8%,94.9%
02/2018,2/1/2018,3/1/2018,3.0%,4.6%,6.1%,7.6%,9.1%,15.0%,19.5%,23.4%,26.9%,29.8%,39.6%,55.4%,70.7%,85.9%,95.2%
03/2018,3/1/2018,4/1/2018,2.2%,4.2%,5.8%,7.5%,9.0%,15.7%,21.1%,25.2%,28.8%,31.9%,42.1%,56.9%,71.0%,85.6%,94.4%
04/2018,4/1/2018,5/1/2018,3.0%,5.8%,8.0%,10.0%,11.7%,17.9%,22.7%,26.8%,30.6%,34.0%,44.3%,58.1%,70.6%,85.3%,94.9%
05/2018,5/1/2018,6/1/2018,2.7%,5.1%,6.8%,8.2%,9.7%,16.1%,20.7%,24.8%,28.1%,31.0%,40.4%,55.2%,68.4%,83.2%,93.5%
06/2018,6/1/2018,7/1/2018,3.0%,5.8%,8.4%,10.5%,11.9%,18.0%,23.1%,27.8%,31.6%,34.9%,45.1%,59.3%,72.0%,85.8%,94.8%
07/2018,7/1/2018,8/1/2018,2.5%,4.7%,6.3%,8.0%,9.3%,15.0%,19.6%,23.5%,27.1%,30.2%,39.7%,53.0%,65.8%,80.4%,91.7%
08/2018,8/1/2018,9/1/2018,3.1%,5.1%,6.9%,8.6%,10.3%,17.2%,22.2%,25.7%,28.9%,31.7%,40.3%,53.5%,66.8%,82.3%,92.9%
09/2018,9/1/2018,10/1/2018,2.5%,5.0%,6.7%,8.3%,9.7%,15.0%,19.0%,22.7%,25.9%,28.7%,37.8%,52.0%,66.3%,82.7%,93.9%
10/2018,10/1/2018,11/1/2018,1.9%,3.5%,4.9%,6.4%,7.7%,13.6%,18.1%,21.9%,25.0%,27.8%,37.0%,50.9%,65.3%,81.5%,92.6%
11/2018,11/1/2018,12/1/2018,2.3%,4.1%,5.7%,7.2%,8.5%,14.1%,18.8%,22.7%,26.0%,29.2%,38.3%,51.8%,65.6%,81.2%,92.5%
12/2018,12/1/2018,1/1/2019,2.4%,4.0%,5.4%,6.8%,8.0%,13.0%,17.0%,20.6%,23.9%,26.8%,35.3%,46.5%,59.0%,77.2%,91.0%
01/2019,1/1/2019,2/1/2019,4.4%,5.7%,6.9%,8.1%,9.2%,13.7%,17.6%,21.2%,24.4%,27.3%,36.0%,48.2%,61.4%,78.3%,90.5%
02/2019,2/1/2019,3/1/2019,4.2%,6.1%,7.6%,9.0%,10.1%,15.0%,18.8%,22.2%,25.3%,27.9%,36.3%,49.7%,62.9%,79.1%,91.0%
03/2019,3/1/2019,4/1/2019,4.3%,5.5%,6.7%,7.8%,8.9%,13.6%,17.4%,20.8%,23.9%,26.9%,35.5%,49.2%,62.2%,78.2%,89.1%
04/2019,4/1/2019,5/1/2019,2.0%,4.1%,6.1%,8.0%,9.8%,17.6%,22.6%,26.6%,29.7%,32.5%,41.4%,56.8%,75.1%,100.0%,100.0%
Quarter from 04/2014,4/1/2014,7/1/2014,30.8%,59.3%,67.8%,75.0%,80.6%,88.5%,92.3%,94.6%,96.2%,97.3%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2014,7/1/2014,10/1/2014,18.7%,32.4%,41.3%,48.9%,53.4%,64.8%,72.1%,77.9%,82.0%,85.3%,92.5%,97.6%,100.0%,100.0%,100.0%
Quarter from 10/2014,10/1/2014,1/1/2015,12.2%,20.6%,27.9%,33.9%,39.6%,59.4%,68.6%,74.4%,79.1%,82.4%,90.4%,96.5%,99.3%,100.0%,100.0%
Quarter from 01/2015,1/1/2015,4/1/2015,8.1%,15.5%,21.9%,28.1%,33.8%,54.6%,66.7%,74.0%,79.2%,82.4%,90.0%,95.7%,98.8%,100.0%,100.0%
Quarter from 04/2015,4/1/2015,7/1/2015,4.6%,9.1%,13.5%,17.3%,21.0%,37.1%,49.5%,59.4%,67.3%,73.9%,85.6%,92.1%,96.5%,100.0%,100.0%
Quarter from 07/2015,7/1/2015,10/1/2015,5.5%,10.5%,15.4%,19.2%,22.9%,37.7%,46.9%,54.7%,61.2%,66.6%,79.5%,88.9%,94.0%,98.9%,100.0%
Quarter from 10/2015,10/1/2015,1/1/2016,4.4%,8.7%,12.3%,15.7%,18.7%,32.0%,42.6%,51.2%,58.3%,64.0%,76.9%,87.3%,93.3%,98.4%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,5.3%,9.5%,13.7%,17.4%,20.9%,34.7%,43.9%,51.0%,57.2%,62.0%,75.5%,86.4%,92.0%,97.3%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,3.7%,7.0%,10.0%,12.9%,15.7%,27.6%,36.5%,43.8%,49.9%,55.0%,68.3%,80.8%,88.8%,95.5%,99.8%
Quarter from 07/2016,7/1/2016,10/1/2016,6.7%,9.5%,12.1%,14.4%,16.6%,24.9%,32.1%,37.8%,42.8%,46.7%,58.9%,76.2%,86.0%,93.3%,97.7%
Quarter from 10/2016,10/1/2016,1/1/2017,3.5%,6.9%,9.6%,12.3%,14.8%,24.4%,31.6%,37.5%,42.5%,46.6%,59.0%,73.8%,83.7%,92.0%,96.7%
Quarter from 01/2017,1/1/2017,4/1/2017,5.0%,9.4%,11.7%,13.8%,15.8%,23.7%,29.9%,34.7%,38.7%,42.4%,54.5%,71.1%,82.4%,90.8%,95.6%
Quarter from 04/2017,4/1/2017,7/1/2017,6.7%,9.1%,11.4%,13.4%,15.1%,23.0%,29.4%,34.9%,39.7%,43.8%,55.2%,69.6%,79.9%,88.7%,94.0%
Quarter from 07/2017,7/1/2017,10/1/2017,5.1%,8.8%,11.1%,13.3%,15.0%,21.7%,27.3%,32.4%,36.9%,40.8%,50.7%,65.5%,78.1%,88.2%,93.7%
Quarter from 10/2017,10/1/2017,1/1/2018,3.1%,6.1%,8.4%,10.2%,11.9%,18.5%,23.7%,28.3%,32.4%,36.1%,46.7%,61.7%,74.4%,85.2%,91.4%
Quarter from 01/2018,1/1/2018,4/1/2018,2.6%,4.2%,5.6%,6.9%,8.2%,14.3%,18.6%,22.5%,25.7%,28.7%,38.9%,54.2%,68.8%,81.4%,88.6%
Quarter from 04/2018,4/1/2018,7/1/2018,2.3%,4.2%,5.8%,7.1%,8.4%,13.6%,18.1%,21.9%,25.5%,28.5%,38.2%,53.4%,66.4%,79.4%,87.2%
Quarter from 07/2018,7/1/2018,10/1/2018,1.9%,3.8%,5.4%,6.9%,8.2%,13.7%,18.0%,21.5%,24.7%,27.5%,35.9%,48.7%,61.6%,75.8%,84.8%
Quarter from 10/2018,10/1/2018,1/1/2019,1.6%,3.2%,4.7%,5.9%,7.1%,12.3%,16.4%,19.8%,22.9%,25.5%,33.6%,46.1%,58.4%,73.2%,83.1%
Quarter from 01/2019,1/1/2019,4/1/2019,4.3%,5.6%,6.6%,7.6%,8.5%,12.7%,16.3%,19.5%,22.3%,24.8%,32.4%,45.1%,57.9%,72.6%,82.3%
