Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
03/2017,3/1/2017,4/1/2017,33.0%,57.9%,61.0%,63.3%,65.1%,72.4%,75.7%,77.9%,79.1%,80.1%,82.3%,84.7%,86.5%,87.6%,87.6%
04/2017,4/1/2017,5/1/2017,30.5%,50.1%,53.4%,55.8%,57.7%,65.1%,70.4%,72.9%,74.5%,75.8%,78.5%,81.2%,83.1%,84.1%,84.1%
05/2017,5/1/2017,6/1/2017,34.6%,55.6%,58.0%,60.3%,61.8%,67.9%,72.3%,74.4%,76.0%,77.2%,79.7%,82.2%,84.1%,85.2%,85.2%
06/2017,6/1/2017,7/1/2017,34.0%,55.1%,57.6%,59.6%,61.6%,69.0%,73.3%,75.1%,76.6%,77.7%,79.7%,81.7%,83.3%,84.3%,84.3%
07/2017,7/1/2017,8/1/2017,31.1%,50.8%,53.6%,56.0%,58.0%,65.8%,70.5%,73.3%,75.3%,76.7%,79.7%,82.6%,84.8%,86.0%,86.0%
08/2017,8/1/2017,9/1/2017,30.3%,50.0%,54.5%,56.9%,58.9%,65.7%,69.3%,72.0%,73.9%,75.4%,78.5%,80.9%,82.7%,83.9%,83.9%
09/2017,9/1/2017,10/1/2017,28.7%,49.2%,52.3%,55.1%,57.4%,65.4%,69.6%,72.3%,74.1%,75.3%,78.3%,80.8%,82.4%,83.3%,83.3%
10/2017,10/1/2017,11/1/2017,27.1%,47.3%,53.3%,55.5%,57.4%,65.4%,70.3%,73.0%,74.8%,76.1%,78.7%,81.1%,82.7%,83.7%,83.7%
11/2017,11/1/2017,12/1/2017,29.8%,46.8%,51.3%,54.0%,56.4%,64.2%,69.0%,71.7%,73.3%,74.4%,77.1%,79.8%,81.5%,82.5%,82.5%
12/2017,12/1/2017,1/1/2018,25.4%,39.1%,43.9%,47.2%,50.1%,59.3%,64.8%,67.3%,69.1%,70.3%,73.7%,77.3%,79.5%,80.8%,80.8%
01/2018,1/1/2018,2/1/2018,25.6%,44.3%,49.0%,52.2%,55.3%,63.3%,68.4%,71.0%,72.8%,74.1%,77.0%,79.8%,81.6%,83.0%,83.0%
02/2018,2/1/2018,3/1/2018,31.0%,48.3%,52.7%,55.8%,57.5%,64.3%,68.3%,70.9%,72.9%,74.3%,77.5%,80.7%,82.5%,83.5%,83.5%
03/2018,3/1/2018,4/1/2018,28.1%,46.0%,51.3%,55.5%,57.4%,64.0%,67.7%,70.4%,72.0%,73.1%,76.4%,79.5%,81.5%,82.5%,82.5%
04/2018,4/1/2018,5/1/2018,30.4%,46.1%,51.2%,54.9%,57.6%,62.5%,65.7%,68.3%,70.0%,71.5%,75.0%,78.3%,80.7%,82.0%,82.0%
05/2018,5/1/2018,6/1/2018,31.0%,47.2%,52.2%,56.4%,59.6%,66.1%,69.0%,70.9%,72.4%,73.6%,76.7%,79.7%,81.7%,82.8%,82.8%
06/2018,6/1/2018,7/1/2018,33.8%,48.2%,52.6%,56.4%,59.4%,65.7%,68.8%,71.0%,72.5%,73.7%,76.7%,79.9%,82.0%,83.2%,83.2%
07/2018,7/1/2018,8/1/2018,26.4%,41.6%,46.3%,49.6%,52.9%,60.3%,63.6%,65.5%,67.1%,68.4%,71.6%,75.2%,77.6%,79.0%,79.0%
08/2018,8/1/2018,9/1/2018,30.4%,43.7%,50.1%,53.0%,55.4%,61.5%,64.9%,67.4%,69.3%,70.6%,74.3%,78.0%,80.0%,81.1%,81.1%
09/2018,9/1/2018,10/1/2018,30.4%,40.9%,48.2%,51.6%,54.5%,60.2%,63.2%,65.4%,67.1%,68.5%,72.1%,75.9%,78.4%,79.4%,79.4%
10/2018,10/1/2018,11/1/2018,30.5%,41.3%,48.1%,51.1%,53.5%,59.7%,63.4%,65.9%,67.8%,69.4%,73.5%,77.1%,79.6%,80.9%,80.9%
11/2018,11/1/2018,12/1/2018,28.7%,38.5%,46.1%,49.7%,52.2%,58.1%,61.9%,64.5%,66.6%,68.5%,72.9%,77.1%,79.6%,80.6%,80.6%
12/2018,12/1/2018,1/1/2019,24.7%,31.9%,36.4%,40.3%,42.5%,50.4%,55.5%,58.6%,61.1%,63.1%,67.7%,72.1%,74.7%,75.5%,75.5%
01/2019,1/1/2019,2/1/2019,27.5%,36.4%,43.8%,46.5%,48.8%,55.7%,59.6%,62.1%,64.3%,66.2%,70.6%,75.4%,77.5%,78.4%,78.4%
02/2019,2/1/2019,3/1/2019,26.8%,36.5%,45.5%,48.2%,50.7%,56.6%,60.2%,63.0%,65.3%,67.1%,71.3%,75.1%,77.3%,78.0%,78.0%
03/2019,3/1/2019,4/1/2019,26.0%,35.3%,43.8%,47.3%,49.9%,56.6%,59.7%,61.7%,63.3%,64.8%,68.3%,72.1%,74.0%,74.6%,74.6%
04/2019,4/1/2019,5/1/2019,26.3%,35.2%,41.8%,44.4%,46.9%,55.0%,58.3%,60.0%,61.4%,62.6%,66.0%,69.2%,70.8%,70.8%,70.8%
Quarter from 04/2014,4/1/2014,7/1/2014,85.2%,90.3%,92.2%,93.6%,94.8%,96.2%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%
Quarter from 07/2014,7/1/2014,10/1/2014,69.8%,93.0%,93.5%,94.0%,94.4%,95.7%,96.4%,96.7%,96.9%,97.0%,97.2%,97.2%,97.2%,97.2%,97.2%
Quarter from 10/2014,10/1/2014,1/1/2015,69.1%,89.2%,90.4%,91.2%,91.8%,93.9%,95.2%,95.8%,96.2%,96.4%,96.9%,97.1%,97.1%,97.1%,97.1%
Quarter from 01/2015,1/1/2015,4/1/2015,72.8%,89.9%,90.6%,91.2%,91.8%,93.3%,94.0%,94.5%,94.9%,95.2%,95.7%,96.0%,96.0%,96.0%,96.0%
Quarter from 04/2015,4/1/2015,7/1/2015,68.5%,85.5%,87.0%,87.9%,88.8%,90.4%,91.1%,91.5%,91.8%,92.1%,92.8%,93.4%,93.5%,93.5%,93.5%
Quarter from 07/2015,7/1/2015,10/1/2015,62.4%,78.1%,81.7%,83.5%,84.5%,87.7%,88.8%,89.4%,89.8%,90.1%,91.1%,92.3%,92.8%,92.8%,92.8%
Quarter from 10/2015,10/1/2015,1/1/2016,57.3%,76.6%,79.7%,81.4%,82.9%,86.3%,88.3%,89.2%,89.8%,90.2%,91.0%,91.8%,92.3%,92.3%,92.3%
Quarter from 01/2016,1/1/2016,4/1/2016,56.0%,72.1%,75.0%,76.9%,78.5%,82.6%,85.0%,86.1%,86.8%,87.3%,88.3%,89.2%,89.8%,89.9%,89.9%
Quarter from 04/2016,4/1/2016,7/1/2016,51.4%,71.2%,73.2%,75.0%,75.9%,79.5%,81.9%,83.6%,84.5%,85.3%,86.8%,87.9%,88.6%,89.0%,89.0%
Quarter from 07/2016,7/1/2016,10/1/2016,44.1%,64.3%,66.9%,69.2%,71.4%,77.5%,80.2%,81.5%,82.4%,83.2%,84.7%,85.9%,86.8%,87.4%,87.4%
Quarter from 10/2016,10/1/2016,1/1/2017,37.7%,58.1%,61.9%,65.0%,67.6%,75.1%,78.5%,80.6%,81.6%,82.2%,83.5%,85.0%,86.3%,87.3%,87.4%
Quarter from 01/2017,1/1/2017,4/1/2017,32.3%,57.1%,60.0%,62.4%,64.5%,72.7%,76.4%,78.5%,79.9%,80.9%,82.9%,84.9%,86.5%,87.9%,88.1%
Quarter from 04/2017,4/1/2017,7/1/2017,33.2%,53.9%,56.3%,58.8%,60.4%,67.1%,71.4%,73.9%,75.4%,76.5%,78.9%,81.2%,82.9%,84.4%,84.6%
Quarter from 07/2017,7/1/2017,10/1/2017,30.0%,50.0%,53.3%,55.9%,57.9%,65.3%,69.0%,71.6%,73.6%,75.0%,78.1%,80.6%,82.5%,84.1%,84.3%
Quarter from 10/2017,10/1/2017,1/1/2018,27.7%,45.2%,50.4%,52.8%,55.1%,63.4%,68.2%,71.0%,72.6%,73.8%,76.3%,79.0%,80.7%,82.3%,82.6%
Quarter from 01/2018,1/1/2018,4/1/2018,28.2%,46.2%,51.0%,54.5%,56.6%,63.4%,67.7%,70.3%,71.9%,73.3%,76.3%,79.3%,81.2%,82.7%,83.0%
Quarter from 04/2018,4/1/2018,7/1/2018,31.8%,47.2%,51.8%,55.6%,58.9%,64.4%,67.2%,69.3%,70.9%,72.2%,75.3%,78.6%,80.8%,82.4%,82.7%
Quarter from 07/2018,7/1/2018,10/1/2018,29.1%,42.2%,48.3%,51.3%,54.1%,60.5%,63.8%,65.7%,67.4%,68.7%,72.3%,75.7%,78.1%,79.7%,79.9%
Quarter from 10/2018,10/1/2018,1/1/2019,28.3%,37.7%,44.2%,47.1%,49.6%,56.0%,59.9%,62.6%,64.9%,66.6%,70.8%,75.0%,77.5%,79.1%,79.3%
Quarter from 01/2019,1/1/2019,4/1/2019,26.7%,35.6%,44.4%,47.2%,49.5%,56.2%,59.2%,61.4%,63.2%,64.8%,69.2%,73.5%,75.7%,76.8%,76.9%
