Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
08/2016,8/1/2016,9/1/2016,37.8%,75.6%,84.6%,88.1%,91.5%,97.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2016,9/1/2016,10/1/2016,47.4%,82.8%,87.5%,91.6%,92.9%,97.8%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2016,10/1/2016,11/1/2016,49.6%,72.6%,83.5%,88.0%,90.6%,94.7%,96.6%,98.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2016,11/1/2016,12/1/2016,42.4%,68.4%,79.1%,89.2%,91.1%,96.2%,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2016,12/1/2016,1/1/2017,38.8%,72.7%,83.6%,91.5%,93.9%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2017,1/1/2017,2/1/2017,37.6%,60.2%,67.7%,75.0%,81.9%,97.1%,98.5%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2017,2/1/2017,3/1/2017,29.2%,55.0%,70.5%,79.2%,86.0%,95.9%,98.2%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2017,3/1/2017,4/1/2017,37.1%,51.5%,63.4%,72.2%,76.8%,85.1%,89.7%,92.3%,94.8%,97.4%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2017,4/1/2017,5/1/2017,21.4%,39.7%,57.8%,73.7%,84.1%,91.6%,93.9%,95.9%,96.9%,98.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2017,5/1/2017,6/1/2017,30.6%,45.8%,56.8%,67.6%,78.2%,93.6%,96.0%,97.6%,98.6%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2017,6/1/2017,7/1/2017,18.9%,35.4%,51.0%,64.8%,76.1%,94.0%,95.9%,97.1%,98.3%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2017,7/1/2017,8/1/2017,31.8%,50.8%,64.1%,76.8%,86.0%,95.2%,96.6%,97.5%,98.4%,99.3%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2017,8/1/2017,9/1/2017,32.6%,51.9%,64.0%,71.2%,77.4%,91.3%,94.9%,97.4%,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2017,9/1/2017,10/1/2017,37.1%,61.0%,75.3%,83.0%,86.9%,93.1%,95.0%,96.9%,98.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2017,10/1/2017,11/1/2017,38.2%,50.3%,58.0%,64.3%,70.1%,84.7%,90.4%,93.6%,96.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2017,11/1/2017,12/1/2017,29.3%,55.7%,76.4%,84.3%,87.1%,92.9%,96.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2017,12/1/2017,1/1/2018,31.3%,60.0%,73.9%,83.9%,89.1%,95.2%,97.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2018,1/1/2018,2/1/2018,33.1%,63.1%,73.1%,79.2%,84.6%,94.6%,98.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2018,2/1/2018,3/1/2018,18.7%,34.8%,45.8%,54.2%,61.3%,83.2%,89.7%,93.5%,96.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2018,3/1/2018,4/1/2018,32.9%,52.9%,60.0%,65.2%,69.7%,83.9%,91.0%,94.2%,97.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2018,4/1/2018,5/1/2018,53.8%,76.9%,84.6%,89.7%,92.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,24.5%,45.8%,60.8%,73.5%,83.7%,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,32.5%,61.9%,79.0%,86.7%,90.2%,98.6%,99.2%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2016,7/1/2016,10/1/2016,41.3%,80.6%,86.1%,89.0%,91.6%,96.0%,98.3%,99.1%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2016,10/1/2016,1/1/2017,44.7%,71.5%,79.5%,83.7%,86.8%,93.9%,95.6%,96.6%,97.5%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2017,1/1/2017,4/1/2017,29.2%,56.5%,67.7%,75.8%,82.3%,93.2%,94.9%,96.1%,97.0%,97.6%,99.4%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2017,4/1/2017,7/1/2017,21.3%,37.6%,52.2%,66.6%,76.8%,92.3%,93.8%,94.8%,95.5%,96.2%,98.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2017,7/1/2017,10/1/2017,33.2%,48.4%,62.7%,70.5%,78.0%,91.5%,93.9%,95.3%,96.1%,96.9%,98.7%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2017,10/1/2017,1/1/2018,32.1%,53.1%,66.4%,74.2%,80.1%,87.1%,90.3%,92.2%,93.9%,94.9%,98.7%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2018,1/1/2018,4/1/2018,26.1%,40.9%,51.1%,58.0%,64.8%,80.2%,87.7%,91.6%,93.6%,94.8%,99.3%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2018,4/1/2018,7/1/2018,53.8%,76.9%,84.6%,89.7%,92.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
