Release,Date from,Date to,Top 1 developers commits as percent of all,Top 2 developers commits as percent of all,Top 3 developers commits as percent of all,Top 4 developers commits as percent of all,Top 5 developers commits as percent of all,Top 10 developers commits as percent of all,Top 15 developers commits as percent of all,Top 20 developers commits as percent of all,Top 25 developers commits as percent of all,Top 30 developers commits as percent of all,Top 50 developers commits as percent of all,Top 100 developers commits as percent of all,Top 200 developers commits as percent of all,Top 500 developers commits as percent of all,Top 1000 developers commits as percent of all
07/2017,7/1/2017,8/1/2017,45.5%,81.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2017,8/1/2017,9/1/2017,37.5%,75.0%,87.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2017,9/1/2017,10/1/2017,66.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2017,10/1/2017,11/1/2017,91.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2017,11/1/2017,12/1/2017,66.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2017,12/1/2017,1/1/2018,,,,,,,,,,,,,,,
01/2018,1/1/2018,2/1/2018,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2018,2/1/2018,3/1/2018,50.0%,92.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2018,3/1/2018,4/1/2018,44.4%,77.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2018,4/1/2018,5/1/2018,78.6%,92.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
