Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
09/2017,9/1/2017,10/1/2017,94.8%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2017,10/1/2017,11/1/2017,86.6%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%
11/2017,11/1/2017,12/1/2017,85.0%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%,88.3%
12/2017,12/1/2017,1/1/2018,25.6%,25.6%,25.6%,25.6%,25.6%,25.6%,25.6%,25.6%,25.6%,25.6%,25.6%,25.6%,25.6%,25.6%,25.6%
01/2018,1/1/2018,2/1/2018,87.3%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%
02/2018,2/1/2018,3/1/2018,78.3%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%
03/2018,3/1/2018,4/1/2018,70.6%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%
04/2018,4/1/2018,5/1/2018,73.6%,82.6%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%
Quarter from 10/2016,10/1/2016,1/1/2017,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%,93.2%
Quarter from 01/2017,1/1/2017,4/1/2017,59.4%,59.4%,59.4%,59.4%,59.4%,59.4%,59.4%,59.4%,59.4%,59.4%,59.4%,59.4%,59.4%,59.4%,59.4%
Quarter from 04/2017,4/1/2017,7/1/2017,83.3%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%
Quarter from 07/2017,7/1/2017,10/1/2017,49.3%,53.1%,53.8%,53.8%,53.8%,53.8%,53.8%,53.8%,53.8%,53.8%,53.8%,53.8%,53.8%,53.8%,53.8%
Quarter from 10/2017,10/1/2017,1/1/2018,53.5%,54.7%,54.7%,54.7%,54.7%,54.7%,54.7%,54.7%,54.7%,54.7%,54.7%,54.7%,54.7%,54.7%,54.7%
Quarter from 01/2018,1/1/2018,4/1/2018,78.2%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%,86.5%
