Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
09/2016,9/1/2016,10/1/2016,23.7%,37.5%,50.7%,61.4%,70.9%,78.6%,80.9%,82.3%,83.5%,84.6%,86.3%,86.3%,86.3%,86.3%,86.3%
10/2016,10/1/2016,11/1/2016,27.0%,53.3%,60.5%,66.8%,69.9%,75.2%,77.5%,78.9%,80.3%,81.2%,83.0%,83.0%,83.0%,83.0%,83.0%
11/2016,11/1/2016,12/1/2016,22.0%,42.7%,58.0%,66.3%,69.4%,74.0%,75.9%,77.3%,78.0%,78.7%,79.8%,79.8%,79.8%,79.8%,79.8%
12/2016,12/1/2016,1/1/2017,19.1%,31.4%,42.1%,51.7%,57.5%,63.2%,65.4%,67.4%,68.4%,69.4%,70.6%,70.6%,70.6%,70.6%,70.6%
01/2017,1/1/2017,2/1/2017,18.6%,31.2%,42.6%,52.7%,61.3%,69.4%,71.6%,73.1%,74.2%,74.9%,76.4%,76.4%,76.4%,76.4%,76.4%
02/2017,2/1/2017,3/1/2017,36.1%,54.4%,61.2%,66.3%,71.2%,76.5%,78.6%,80.1%,81.0%,81.7%,84.1%,84.1%,84.1%,84.1%,84.1%
03/2017,3/1/2017,4/1/2017,24.5%,49.0%,57.5%,64.4%,69.6%,73.2%,74.5%,75.5%,76.5%,77.3%,79.3%,79.3%,79.3%,79.3%,79.3%
04/2017,4/1/2017,5/1/2017,28.1%,50.0%,66.0%,74.0%,77.1%,81.7%,82.9%,83.9%,84.6%,85.0%,85.8%,85.8%,85.8%,85.8%,85.8%
05/2017,5/1/2017,6/1/2017,24.8%,44.1%,60.8%,66.1%,70.8%,78.8%,80.1%,81.0%,81.7%,82.1%,83.5%,83.5%,83.5%,83.5%,83.5%
06/2017,6/1/2017,7/1/2017,22.2%,44.4%,59.7%,63.6%,67.0%,73.8%,75.9%,76.9%,77.8%,78.3%,79.5%,79.5%,79.5%,79.5%,79.5%
07/2017,7/1/2017,8/1/2017,31.1%,47.4%,59.9%,65.5%,69.2%,76.2%,78.2%,79.4%,80.2%,80.7%,82.7%,82.8%,82.8%,82.8%,82.8%
08/2017,8/1/2017,9/1/2017,18.6%,34.7%,48.2%,55.9%,59.0%,66.8%,70.1%,71.3%,72.3%,72.8%,74.8%,75.2%,75.2%,75.2%,75.2%
09/2017,9/1/2017,10/1/2017,17.3%,34.2%,49.8%,56.7%,58.8%,65.2%,67.8%,68.9%,70.1%,71.0%,72.8%,72.8%,72.8%,72.8%,72.8%
10/2017,10/1/2017,11/1/2017,20.5%,37.2%,51.9%,58.5%,64.3%,72.5%,74.2%,75.5%,76.3%,77.2%,78.9%,79.7%,79.7%,79.7%,79.7%
11/2017,11/1/2017,12/1/2017,20.1%,38.4%,48.2%,55.8%,61.0%,71.3%,73.6%,74.9%,75.8%,76.7%,78.5%,78.5%,78.5%,78.5%,78.5%
12/2017,12/1/2017,1/1/2018,23.5%,32.3%,41.0%,47.4%,52.2%,61.2%,64.4%,65.8%,66.6%,67.3%,69.2%,69.2%,69.2%,69.2%,69.2%
01/2018,1/1/2018,2/1/2018,16.0%,30.2%,39.1%,47.9%,54.0%,61.8%,64.3%,66.1%,67.4%,67.9%,69.4%,69.4%,69.4%,69.4%,69.4%
02/2018,2/1/2018,3/1/2018,25.1%,38.5%,51.3%,61.0%,66.0%,72.1%,74.3%,75.5%,76.2%,76.7%,78.1%,78.1%,78.1%,78.1%,78.1%
03/2018,3/1/2018,4/1/2018,33.1%,42.8%,49.8%,55.9%,61.5%,68.1%,70.4%,71.4%,71.9%,72.4%,72.5%,72.5%,72.5%,72.5%,72.5%
04/2018,4/1/2018,5/1/2018,22.3%,33.0%,43.2%,51.2%,56.2%,62.9%,64.3%,65.5%,65.5%,65.5%,65.5%,65.5%,65.5%,65.5%,65.5%
Quarter from 01/2014,1/1/2014,4/1/2014,45.5%,54.5%,59.1%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%,63.6%
Quarter from 04/2014,4/1/2014,7/1/2014,73.1%,88.5%,96.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2014,7/1/2014,10/1/2014,62.1%,64.2%,66.3%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%
Quarter from 10/2014,10/1/2014,1/1/2015,34.3%,39.2%,42.0%,42.5%,43.1%,43.1%,43.1%,43.1%,43.1%,43.1%,43.1%,43.1%,43.1%,43.1%,43.1%
Quarter from 01/2015,1/1/2015,4/1/2015,78.1%,87.4%,91.7%,93.1%,93.6%,95.5%,96.3%,96.9%,97.1%,97.4%,97.5%,97.5%,97.5%,97.5%,97.5%
Quarter from 04/2015,4/1/2015,7/1/2015,74.2%,81.2%,86.5%,89.7%,90.7%,93.4%,94.3%,95.0%,95.4%,95.9%,96.5%,96.5%,96.5%,96.5%,96.5%
Quarter from 07/2015,7/1/2015,10/1/2015,59.1%,71.9%,78.2%,82.3%,84.7%,89.0%,90.8%,91.8%,92.4%,92.9%,94.1%,94.5%,94.5%,94.5%,94.5%
Quarter from 10/2015,10/1/2015,1/1/2016,43.1%,64.4%,73.1%,76.9%,78.2%,82.4%,84.0%,85.2%,86.1%,86.8%,88.7%,89.3%,89.3%,89.3%,89.3%
Quarter from 01/2016,1/1/2016,4/1/2016,37.5%,53.3%,66.3%,73.7%,78.8%,85.5%,86.6%,87.3%,88.0%,88.5%,89.5%,90.1%,90.1%,90.1%,90.1%
Quarter from 04/2016,4/1/2016,7/1/2016,18.9%,34.6%,44.8%,53.9%,61.2%,77.7%,79.1%,80.1%,80.8%,81.4%,82.7%,84.0%,84.0%,84.0%,84.0%
Quarter from 07/2016,7/1/2016,10/1/2016,24.7%,43.7%,56.1%,66.9%,73.3%,78.9%,80.8%,81.9%,82.7%,83.3%,85.2%,86.8%,86.8%,86.8%,86.8%
Quarter from 10/2016,10/1/2016,1/1/2017,20.3%,40.4%,54.1%,59.8%,63.8%,69.9%,72.2%,73.6%,74.6%,75.3%,77.0%,78.6%,78.6%,78.6%,78.6%
Quarter from 01/2017,1/1/2017,4/1/2017,25.1%,46.0%,53.2%,59.7%,65.7%,72.6%,74.1%,74.9%,75.6%,76.2%,77.8%,80.0%,80.1%,80.1%,80.1%
Quarter from 04/2017,4/1/2017,7/1/2017,21.1%,41.9%,62.4%,67.5%,71.4%,77.9%,79.4%,80.2%,80.6%,81.1%,82.2%,83.2%,83.2%,83.2%,83.2%
Quarter from 07/2017,7/1/2017,10/1/2017,22.5%,38.0%,52.8%,58.0%,61.6%,68.8%,71.1%,72.3%,73.0%,73.6%,75.0%,76.9%,77.1%,77.1%,77.1%
Quarter from 10/2017,10/1/2017,1/1/2018,20.4%,36.5%,46.8%,54.4%,59.9%,68.1%,70.1%,71.3%,72.3%,73.0%,74.7%,76.5%,76.7%,76.7%,76.7%
Quarter from 01/2018,1/1/2018,4/1/2018,25.0%,37.4%,45.9%,53.9%,60.8%,66.8%,69.1%,70.2%,71.0%,71.5%,72.6%,73.5%,73.5%,73.5%,73.5%
Quarter from 04/2018,4/1/2018,7/1/2018,22.3%,33.0%,43.2%,51.2%,56.2%,62.9%,64.3%,65.5%,65.5%,65.5%,65.5%,65.5%,65.5%,65.5%,65.5%
