Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
05/2015,5/1/2015,6/1/2015,59.2%,69.5%,79.2%,83.2%,85.0%,89.5%,91.1%,91.9%,92.4%,92.9%,94.0%,94.9%,95.2%,95.2%,95.2%
06/2015,6/1/2015,7/1/2015,60.6%,70.4%,75.9%,78.4%,80.3%,87.4%,90.3%,91.2%,91.8%,92.2%,93.4%,94.5%,94.7%,94.7%,94.7%
07/2015,7/1/2015,8/1/2015,64.2%,72.3%,76.8%,80.5%,83.4%,88.7%,90.4%,91.2%,91.9%,92.3%,93.4%,94.4%,94.8%,94.8%,94.8%
08/2015,8/1/2015,9/1/2015,59.6%,66.1%,71.9%,74.3%,76.2%,83.6%,86.9%,88.2%,88.8%,89.3%,90.7%,92.3%,93.0%,93.0%,93.0%
09/2015,9/1/2015,10/1/2015,52.6%,63.8%,71.8%,74.6%,77.1%,84.7%,87.2%,88.3%,88.8%,89.2%,90.4%,91.8%,92.4%,92.4%,92.4%
10/2015,10/1/2015,11/1/2015,53.7%,63.1%,67.6%,70.6%,73.2%,83.3%,87.4%,88.6%,89.3%,89.7%,90.9%,91.9%,92.4%,92.4%,92.4%
11/2015,11/1/2015,12/1/2015,45.6%,55.4%,60.5%,64.6%,68.2%,79.8%,83.2%,84.9%,85.8%,86.5%,87.9%,89.5%,90.2%,90.2%,90.2%
12/2015,12/1/2015,1/1/2016,50.7%,57.9%,63.0%,67.7%,70.9%,80.2%,84.3%,85.9%,86.6%,87.1%,88.3%,89.6%,90.2%,90.2%,90.2%
01/2016,1/1/2016,2/1/2016,45.8%,52.8%,59.2%,63.7%,67.6%,77.3%,81.6%,84.1%,85.6%,86.4%,88.2%,89.5%,90.2%,90.2%,90.2%
02/2016,2/1/2016,3/1/2016,49.0%,55.6%,60.8%,65.1%,67.6%,76.9%,82.3%,84.9%,86.6%,87.3%,88.6%,89.9%,90.6%,90.6%,90.6%
03/2016,3/1/2016,4/1/2016,45.4%,51.3%,55.6%,59.6%,62.8%,74.1%,79.2%,81.6%,83.2%,84.3%,86.0%,87.8%,88.9%,88.9%,88.9%
04/2016,4/1/2016,5/1/2016,40.5%,49.3%,55.0%,60.4%,64.1%,74.8%,79.1%,81.3%,82.5%,83.5%,85.4%,87.5%,88.7%,88.7%,88.7%
05/2016,5/1/2016,6/1/2016,43.4%,52.9%,57.4%,61.4%,65.2%,74.4%,78.5%,80.8%,82.3%,83.4%,85.5%,87.4%,88.8%,89.1%,89.1%
06/2016,6/1/2016,7/1/2016,47.5%,57.4%,60.8%,63.6%,66.4%,76.2%,79.6%,81.3%,82.5%,83.4%,85.6%,87.4%,88.6%,88.7%,88.7%
07/2016,7/1/2016,8/1/2016,38.2%,46.1%,51.1%,54.5%,57.0%,67.3%,73.9%,77.1%,78.9%,80.0%,82.3%,84.2%,85.6%,86.0%,86.0%
08/2016,8/1/2016,9/1/2016,41.2%,49.3%,55.9%,59.7%,62.5%,71.3%,75.3%,78.3%,80.3%,81.4%,84.0%,85.8%,87.0%,87.3%,87.3%
09/2016,9/1/2016,10/1/2016,39.4%,51.5%,54.4%,57.4%,60.2%,69.4%,74.6%,77.7%,79.6%,81.1%,83.5%,85.5%,86.9%,87.3%,87.3%
10/2016,10/1/2016,11/1/2016,35.6%,44.5%,50.4%,54.1%,56.8%,65.9%,70.9%,73.7%,75.7%,77.2%,80.1%,82.5%,84.1%,84.9%,84.9%
11/2016,11/1/2016,12/1/2016,38.4%,47.4%,51.0%,54.2%,56.9%,65.7%,71.0%,74.5%,77.2%,79.0%,82.0%,84.3%,85.8%,86.5%,86.5%
12/2016,12/1/2016,1/1/2017,31.6%,43.2%,48.6%,52.1%,55.5%,65.2%,70.6%,73.7%,76.2%,78.0%,81.1%,83.6%,85.7%,86.8%,86.8%
01/2017,1/1/2017,2/1/2017,33.3%,43.1%,47.0%,50.8%,54.4%,65.2%,70.3%,73.7%,76.1%,77.7%,80.9%,83.5%,85.5%,86.7%,86.7%
02/2017,2/1/2017,3/1/2017,29.5%,39.7%,43.7%,47.0%,49.3%,59.4%,65.3%,69.3%,72.1%,74.4%,78.8%,82.8%,85.1%,86.5%,86.5%
03/2017,3/1/2017,4/1/2017,31.8%,43.4%,46.2%,48.7%,50.6%,58.9%,65.6%,69.6%,72.5%,74.5%,78.7%,81.9%,83.9%,85.4%,85.4%
04/2017,4/1/2017,5/1/2017,28.0%,36.7%,40.6%,43.5%,46.0%,55.8%,62.0%,67.1%,70.7%,72.5%,76.6%,79.8%,81.9%,83.4%,83.4%
05/2017,5/1/2017,6/1/2017,30.4%,40.0%,42.9%,45.4%,47.9%,56.7%,62.5%,66.7%,69.6%,71.7%,76.3%,79.9%,82.2%,83.8%,83.8%
06/2017,6/1/2017,7/1/2017,32.8%,44.7%,47.4%,50.1%,52.6%,60.1%,65.3%,69.0%,71.5%,73.1%,77.2%,80.9%,82.8%,84.5%,84.5%
07/2017,7/1/2017,8/1/2017,29.5%,38.6%,42.0%,44.6%,47.1%,55.9%,61.5%,65.5%,68.3%,70.5%,75.4%,79.0%,81.4%,83.3%,83.3%
08/2017,8/1/2017,9/1/2017,29.7%,38.0%,42.2%,44.9%,47.0%,55.1%,59.9%,63.9%,67.0%,69.3%,74.2%,78.0%,80.2%,82.0%,82.0%
09/2017,9/1/2017,10/1/2017,30.4%,40.3%,43.2%,45.4%,47.0%,54.1%,59.9%,64.1%,67.5%,70.0%,75.0%,78.4%,80.7%,82.3%,82.3%
10/2017,10/1/2017,11/1/2017,23.8%,32.7%,35.5%,37.8%,39.9%,48.8%,55.1%,59.7%,62.8%,65.5%,71.2%,74.8%,77.0%,78.7%,78.7%
11/2017,11/1/2017,12/1/2017,24.1%,31.4%,35.7%,38.7%,41.2%,50.5%,56.4%,60.7%,64.0%,66.5%,72.1%,76.1%,78.3%,80.2%,80.2%
12/2017,12/1/2017,1/1/2018,24.1%,29.7%,32.8%,35.8%,37.9%,47.5%,54.3%,59.2%,62.6%,65.2%,70.6%,74.5%,76.9%,78.3%,78.3%
01/2018,1/1/2018,2/1/2018,23.2%,30.4%,34.8%,37.8%,40.4%,48.6%,54.4%,58.8%,62.3%,64.8%,69.8%,73.2%,75.3%,76.6%,76.6%
02/2018,2/1/2018,3/1/2018,22.9%,31.0%,34.5%,36.5%,38.4%,46.8%,52.8%,56.9%,59.8%,62.0%,67.0%,70.8%,72.8%,73.6%,73.6%
03/2018,3/1/2018,4/1/2018,19.3%,26.3%,33.2%,37.0%,39.4%,48.2%,53.5%,56.7%,59.5%,61.5%,66.4%,70.1%,71.8%,72.5%,72.5%
04/2018,4/1/2018,5/1/2018,21.1%,26.5%,31.5%,34.6%,37.6%,45.4%,51.0%,54.9%,57.6%,59.7%,65.0%,68.8%,70.6%,70.6%,70.6%
