Release,Date from,Date to,Top 1 developers commits as percent of all,Top 2 developers commits as percent of all,Top 3 developers commits as percent of all,Top 4 developers commits as percent of all,Top 5 developers commits as percent of all,Top 10 developers commits as percent of all,Top 15 developers commits as percent of all,Top 20 developers commits as percent of all,Top 25 developers commits as percent of all,Top 30 developers commits as percent of all,Top 50 developers commits as percent of all,Top 100 developers commits as percent of all,Top 200 developers commits as percent of all,Top 500 developers commits as percent of all,Top 1000 developers commits as percent of all
02/2016,2/1/2016,3/1/2016,15.4%,27.6%,36.7%,45.1%,50.7%,72.6%,85.6%,94.0%,96.7%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2016,3/1/2016,4/1/2016,30.6%,40.8%,49.2%,57.3%,62.7%,78.8%,86.9%,92.7%,95.9%,97.7%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2016,4/1/2016,5/1/2016,20.4%,34.6%,42.5%,49.0%,55.3%,75.0%,83.4%,88.9%,93.3%,96.2%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2016,5/1/2016,6/1/2016,11.7%,19.8%,27.3%,33.3%,38.6%,60.1%,76.3%,85.5%,91.7%,94.8%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2016,6/1/2016,7/1/2016,11.2%,19.5%,26.8%,32.4%,37.1%,55.7%,70.8%,82.5%,90.6%,94.4%,99.4%,100.0%,100.0%,100.0%,100.0%
07/2016,7/1/2016,8/1/2016,15.7%,23.5%,30.9%,36.1%,41.1%,59.1%,69.0%,77.0%,83.2%,88.2%,98.3%,100.0%,100.0%,100.0%,100.0%
08/2016,8/1/2016,9/1/2016,8.7%,16.6%,22.4%,27.7%,32.4%,51.1%,63.5%,72.9%,80.3%,85.3%,96.3%,100.0%,100.0%,100.0%,100.0%
09/2016,9/1/2016,10/1/2016,9.1%,17.9%,25.7%,31.1%,35.4%,51.9%,62.1%,69.5%,75.3%,80.4%,93.8%,100.0%,100.0%,100.0%,100.0%
10/2016,10/1/2016,11/1/2016,8.6%,15.6%,22.0%,26.7%,30.4%,46.3%,58.9%,68.0%,75.6%,81.1%,92.9%,100.0%,100.0%,100.0%,100.0%
11/2016,11/1/2016,12/1/2016,10.7%,20.2%,24.7%,28.8%,32.4%,48.2%,59.1%,67.7%,75.0%,80.3%,93.1%,100.0%,100.0%,100.0%,100.0%
12/2016,12/1/2016,1/1/2017,9.0%,15.9%,21.1%,25.9%,30.3%,45.0%,55.6%,63.9%,70.5%,75.9%,89.7%,100.0%,100.0%,100.0%,100.0%
01/2017,1/1/2017,2/1/2017,9.4%,14.6%,19.5%,24.3%,28.1%,42.0%,53.3%,62.5%,69.7%,75.9%,90.3%,99.8%,100.0%,100.0%,100.0%
02/2017,2/1/2017,3/1/2017,12.1%,17.4%,22.2%,26.4%,30.1%,44.8%,53.7%,60.1%,66.1%,71.2%,85.5%,99.1%,100.0%,100.0%,100.0%
03/2017,3/1/2017,4/1/2017,17.3%,23.9%,27.8%,31.6%,35.3%,48.0%,58.3%,66.1%,72.4%,76.9%,89.8%,99.1%,100.0%,100.0%,100.0%
04/2017,4/1/2017,5/1/2017,20.5%,26.3%,31.0%,35.1%,38.9%,51.8%,61.2%,68.0%,73.4%,77.8%,90.9%,100.0%,100.0%,100.0%,100.0%
05/2017,5/1/2017,6/1/2017,24.2%,29.0%,32.3%,35.4%,38.4%,51.4%,60.7%,67.5%,72.8%,77.3%,88.8%,99.4%,100.0%,100.0%,100.0%
06/2017,6/1/2017,7/1/2017,17.1%,24.4%,27.9%,31.3%,34.7%,48.5%,58.5%,66.3%,71.6%,76.2%,88.8%,99.5%,100.0%,100.0%,100.0%
07/2017,7/1/2017,8/1/2017,10.8%,18.4%,22.0%,25.4%,28.9%,43.0%,54.0%,61.5%,67.6%,72.9%,86.6%,98.9%,100.0%,100.0%,100.0%
08/2017,8/1/2017,9/1/2017,19.9%,26.0%,31.8%,37.2%,40.0%,51.1%,59.8%,66.3%,71.6%,76.0%,88.5%,99.0%,100.0%,100.0%,100.0%
09/2017,9/1/2017,10/1/2017,10.8%,19.6%,26.5%,30.7%,34.5%,49.9%,59.4%,67.1%,73.3%,78.3%,89.8%,99.7%,100.0%,100.0%,100.0%
10/2017,10/1/2017,11/1/2017,13.5%,19.4%,25.0%,30.1%,34.8%,49.3%,58.5%,65.6%,71.2%,75.7%,87.7%,98.9%,100.0%,100.0%,100.0%
11/2017,11/1/2017,12/1/2017,10.2%,16.3%,21.8%,26.1%,30.2%,44.5%,54.2%,61.9%,67.6%,72.6%,87.6%,99.3%,100.0%,100.0%,100.0%
12/2017,12/1/2017,1/1/2018,5.8%,11.4%,16.1%,20.4%,23.7%,38.2%,49.2%,57.1%,63.8%,69.3%,84.8%,99.2%,100.0%,100.0%,100.0%
01/2018,1/1/2018,2/1/2018,8.9%,17.0%,23.9%,29.6%,34.7%,52.8%,61.3%,67.8%,73.4%,78.0%,89.4%,99.2%,100.0%,100.0%,100.0%
02/2018,2/1/2018,3/1/2018,8.6%,15.0%,21.4%,26.2%,30.4%,46.5%,56.4%,64.5%,71.2%,76.8%,90.4%,100.0%,100.0%,100.0%,100.0%
03/2018,3/1/2018,4/1/2018,5.9%,11.5%,17.1%,22.7%,27.1%,46.9%,57.3%,65.0%,71.1%,76.1%,89.7%,100.0%,100.0%,100.0%,100.0%
04/2018,4/1/2018,5/1/2018,12.1%,22.2%,27.6%,32.4%,36.3%,50.8%,62.0%,70.6%,77.3%,82.4%,93.6%,100.0%,100.0%,100.0%,100.0%
05/2018,5/1/2018,6/1/2018,8.2%,14.0%,19.7%,24.7%,29.5%,46.5%,59.9%,68.7%,75.1%,80.0%,92.5%,100.0%,100.0%,100.0%,100.0%
06/2018,6/1/2018,7/1/2018,7.9%,15.6%,20.6%,25.5%,30.3%,48.0%,61.2%,70.7%,77.4%,83.2%,96.0%,100.0%,100.0%,100.0%,100.0%
07/2018,7/1/2018,8/1/2018,12.0%,19.3%,25.0%,29.1%,33.0%,49.6%,61.8%,70.2%,76.2%,80.9%,91.4%,100.0%,100.0%,100.0%,100.0%
08/2018,8/1/2018,9/1/2018,8.3%,14.9%,21.0%,26.3%,31.7%,52.1%,64.8%,73.7%,79.0%,82.9%,93.2%,100.0%,100.0%,100.0%,100.0%
09/2018,9/1/2018,10/1/2018,14.9%,23.1%,30.8%,35.3%,39.4%,55.3%,67.5%,76.9%,83.4%,87.7%,97.6%,100.0%,100.0%,100.0%,100.0%
10/2018,10/1/2018,11/1/2018,14.3%,24.0%,32.0%,39.0%,45.0%,64.3%,73.0%,79.3%,84.3%,88.3%,97.3%,100.0%,100.0%,100.0%,100.0%
11/2018,11/1/2018,12/1/2018,10.3%,19.3%,24.8%,29.6%,33.8%,50.2%,61.0%,70.1%,77.9%,83.7%,96.4%,100.0%,100.0%,100.0%,100.0%
12/2018,12/1/2018,1/1/2019,14.9%,24.1%,31.0%,36.8%,41.4%,60.3%,71.8%,80.5%,86.8%,90.8%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2019,1/1/2019,2/1/2019,24.9%,34.9%,42.1%,48.3%,54.5%,72.2%,79.9%,84.7%,89.5%,92.8%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2019,2/1/2019,3/1/2019,37.8%,44.2%,48.6%,52.9%,56.8%,73.7%,86.7%,91.7%,94.6%,96.4%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2019,3/1/2019,4/1/2019,29.6%,39.7%,44.5%,48.9%,52.9%,69.0%,79.6%,85.9%,90.2%,93.1%,99.4%,100.0%,100.0%,100.0%,100.0%
04/2019,4/1/2019,5/1/2019,25.3%,35.8%,43.3%,50.5%,55.7%,78.4%,87.6%,92.8%,97.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2014,4/1/2014,7/1/2014,32.0%,59.1%,67.0%,74.4%,81.4%,89.6%,93.6%,96.0%,97.5%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2014,7/1/2014,10/1/2014,17.6%,29.2%,37.5%,44.2%,49.5%,62.5%,70.9%,77.4%,82.0%,85.7%,94.1%,99.0%,100.0%,100.0%,100.0%
Quarter from 10/2014,10/1/2014,1/1/2015,11.5%,18.2%,24.3%,30.0%,35.0%,55.2%,64.8%,72.2%,78.8%,83.2%,92.4%,98.5%,100.0%,100.0%,100.0%
Quarter from 01/2015,1/1/2015,4/1/2015,11.8%,22.2%,30.7%,38.1%,45.3%,67.9%,83.4%,92.0%,96.8%,98.9%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2015,4/1/2015,7/1/2015,8.2%,14.7%,20.5%,25.4%,30.2%,52.6%,69.7%,82.4%,91.8%,97.1%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2015,7/1/2015,10/1/2015,7.8%,14.6%,21.3%,27.3%,33.3%,57.1%,71.9%,81.7%,89.9%,95.5%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2015,10/1/2015,1/1/2016,15.2%,21.1%,26.8%,32.4%,37.5%,58.9%,71.5%,81.4%,88.7%,92.6%,99.4%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,17.9%,29.6%,36.4%,42.8%,48.1%,67.1%,78.8%,86.1%,91.6%,94.9%,99.6%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,10.9%,20.0%,27.4%,32.4%,36.9%,55.0%,67.7%,77.7%,85.4%,90.6%,98.1%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2016,7/1/2016,10/1/2016,10.6%,17.1%,23.1%,28.4%,33.0%,46.8%,56.0%,63.9%,71.0%,77.1%,90.2%,99.8%,100.0%,100.0%,100.0%
Quarter from 10/2016,10/1/2016,1/1/2017,7.0%,13.4%,18.3%,22.4%,26.2%,40.4%,51.3%,60.0%,67.7%,74.0%,87.8%,98.9%,100.0%,100.0%,100.0%
Quarter from 01/2017,1/1/2017,4/1/2017,13.4%,17.9%,21.6%,24.6%,27.6%,39.8%,49.0%,56.0%,62.2%,67.7%,83.1%,97.6%,100.0%,100.0%,100.0%
Quarter from 04/2017,4/1/2017,7/1/2017,20.7%,24.6%,28.1%,31.4%,33.9%,45.5%,55.7%,63.4%,69.1%,73.7%,86.6%,98.5%,100.0%,100.0%,100.0%
Quarter from 07/2017,7/1/2017,10/1/2017,14.5%,20.9%,26.4%,30.2%,32.9%,43.7%,52.2%,58.7%,64.0%,68.6%,82.3%,96.7%,100.0%,100.0%,100.0%
Quarter from 10/2017,10/1/2017,1/1/2018,7.5%,13.8%,18.8%,22.6%,26.3%,39.9%,49.5%,56.9%,62.9%,67.6%,81.0%,97.2%,100.0%,100.0%,100.0%
Quarter from 01/2018,1/1/2018,4/1/2018,7.2%,14.2%,19.3%,23.9%,27.8%,42.3%,51.5%,58.4%,64.2%,69.6%,84.3%,97.3%,100.0%,100.0%,100.0%
Quarter from 04/2018,4/1/2018,7/1/2018,5.6%,10.0%,14.1%,18.2%,22.3%,38.7%,51.5%,60.9%,67.9%,73.5%,88.5%,99.1%,100.0%,100.0%,100.0%
Quarter from 07/2018,7/1/2018,10/1/2018,10.7%,16.1%,21.2%,25.1%,28.9%,45.3%,58.5%,66.5%,72.5%,76.9%,87.8%,98.5%,100.0%,100.0%,100.0%
Quarter from 10/2018,10/1/2018,1/1/2019,7.8%,14.0%,20.2%,25.8%,31.2%,48.3%,58.8%,66.6%,72.7%,77.8%,91.3%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2019,1/1/2019,4/1/2019,31.1%,37.5%,41.8%,46.0%,49.8%,63.8%,73.5%,80.7%,86.2%,89.5%,96.0%,100.0%,100.0%,100.0%,100.0%
