Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
08/2014,8/1/2014,9/1/2014,74.8%,77.4%,79.1%,80.0%,80.9%,83.0%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%
09/2014,9/1/2014,10/1/2014,50.9%,78.3%,79.2%,80.2%,81.1%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%
10/2014,10/1/2014,11/1/2014,61.9%,79.5%,83.8%,87.6%,89.0%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%
11/2014,11/1/2014,12/1/2014,67.0%,82.7%,84.7%,86.0%,87.0%,89.7%,90.3%,90.3%,90.3%,90.3%,90.3%,90.3%,90.3%,90.3%,90.3%
12/2014,12/1/2014,1/1/2015,61.7%,79.3%,82.0%,82.9%,83.5%,85.6%,85.6%,85.6%,85.6%,85.6%,85.6%,85.6%,85.6%,85.6%,85.6%
01/2015,1/1/2015,2/1/2015,70.9%,81.2%,83.5%,85.8%,87.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%
02/2015,2/1/2015,3/1/2015,69.7%,75.8%,79.8%,81.3%,81.8%,83.8%,83.8%,83.8%,83.8%,83.8%,83.8%,83.8%,83.8%,83.8%,83.8%
03/2015,3/1/2015,4/1/2015,78.2%,84.2%,88.1%,90.1%,91.1%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%
04/2015,4/1/2015,5/1/2015,46.9%,77.5%,88.7%,90.7%,91.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%,93.6%
05/2015,5/1/2015,6/1/2015,62.7%,69.9%,75.1%,77.2%,78.8%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%
06/2015,6/1/2015,7/1/2015,64.4%,68.3%,71.3%,74.3%,76.2%,81.7%,82.7%,82.7%,82.7%,82.7%,82.7%,82.7%,82.7%,82.7%,82.7%
07/2015,7/1/2015,8/1/2015,64.9%,72.4%,79.3%,82.2%,82.8%,83.9%,83.9%,83.9%,83.9%,83.9%,83.9%,83.9%,83.9%,83.9%,83.9%
08/2015,8/1/2015,9/1/2015,54.5%,63.0%,66.9%,69.5%,71.4%,76.0%,76.6%,76.6%,76.6%,76.6%,76.6%,76.6%,76.6%,76.6%,76.6%
09/2015,9/1/2015,10/1/2015,73.1%,77.9%,81.5%,84.1%,85.2%,88.2%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%,88.9%
10/2015,10/1/2015,11/1/2015,58.3%,68.4%,75.4%,78.5%,79.4%,81.6%,81.6%,81.6%,81.6%,81.6%,81.6%,81.6%,81.6%,81.6%,81.6%
11/2015,11/1/2015,12/1/2015,65.7%,76.7%,86.2%,88.1%,89.0%,91.0%,91.0%,91.0%,91.0%,91.0%,91.0%,91.0%,91.0%,91.0%,91.0%
12/2015,12/1/2015,1/1/2016,66.1%,74.3%,77.4%,80.5%,80.8%,82.5%,82.5%,82.5%,82.5%,82.5%,82.5%,82.5%,82.5%,82.5%,82.5%
01/2016,1/1/2016,2/1/2016,62.2%,73.9%,75.7%,77.0%,77.8%,81.7%,83.5%,83.5%,83.5%,83.5%,83.5%,83.5%,83.5%,83.5%,83.5%
02/2016,2/1/2016,3/1/2016,75.0%,82.4%,84.0%,85.1%,86.2%,86.7%,86.7%,86.7%,86.7%,86.7%,86.7%,86.7%,86.7%,86.7%,86.7%
03/2016,3/1/2016,4/1/2016,78.5%,85.7%,87.9%,88.8%,89.3%,90.4%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%
04/2016,4/1/2016,5/1/2016,78.4%,83.6%,85.2%,86.6%,87.1%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%
05/2016,5/1/2016,6/1/2016,75.3%,83.5%,86.0%,87.6%,88.5%,89.9%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%
06/2016,6/1/2016,7/1/2016,71.9%,75.8%,78.6%,81.0%,81.8%,83.9%,83.9%,83.9%,83.9%,83.9%,83.9%,83.9%,83.9%,83.9%,83.9%
07/2016,7/1/2016,8/1/2016,67.3%,78.8%,82.4%,83.3%,83.9%,84.2%,84.2%,84.2%,84.2%,84.2%,84.2%,84.2%,84.2%,84.2%,84.2%
08/2016,8/1/2016,9/1/2016,81.3%,83.8%,86.3%,86.9%,87.2%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%
09/2016,9/1/2016,10/1/2016,75.9%,79.4%,82.0%,83.9%,84.6%,86.8%,88.4%,89.4%,89.4%,89.4%,89.4%,89.4%,89.4%,89.4%,89.4%
10/2016,10/1/2016,11/1/2016,75.3%,78.8%,81.7%,82.7%,83.5%,85.7%,86.2%,86.2%,86.2%,86.2%,86.2%,86.2%,86.2%,86.2%,86.2%
11/2016,11/1/2016,12/1/2016,80.8%,86.3%,89.4%,89.8%,90.2%,91.4%,91.4%,91.4%,91.4%,91.4%,91.4%,91.4%,91.4%,91.4%,91.4%
12/2016,12/1/2016,1/1/2017,81.8%,84.4%,85.7%,86.5%,87.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%
01/2017,1/1/2017,2/1/2017,84.8%,86.8%,87.9%,88.5%,89.0%,90.1%,90.8%,90.8%,90.8%,90.8%,90.8%,90.8%,90.8%,90.8%,90.8%
02/2017,2/1/2017,3/1/2017,70.0%,75.5%,81.0%,82.4%,83.3%,86.2%,86.7%,86.7%,86.7%,86.7%,86.7%,86.7%,86.7%,86.7%,86.7%
03/2017,3/1/2017,4/1/2017,64.5%,73.1%,76.1%,77.2%,78.2%,80.7%,82.0%,83.2%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%
04/2017,4/1/2017,5/1/2017,67.3%,70.7%,73.3%,75.0%,76.4%,79.3%,80.7%,82.1%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%
05/2017,5/1/2017,6/1/2017,68.1%,72.3%,75.9%,76.9%,77.6%,79.1%,80.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%
06/2017,6/1/2017,7/1/2017,60.3%,66.3%,70.8%,74.8%,76.2%,80.5%,81.9%,82.7%,82.7%,82.7%,82.7%,82.7%,82.7%,82.7%,82.7%
07/2017,7/1/2017,8/1/2017,60.1%,75.1%,78.2%,79.7%,80.8%,82.9%,84.0%,84.2%,84.2%,84.2%,84.2%,84.2%,84.2%,84.2%,84.2%
08/2017,8/1/2017,9/1/2017,55.0%,64.1%,66.4%,67.8%,68.5%,70.8%,71.8%,71.8%,71.8%,71.8%,71.8%,71.8%,71.8%,71.8%,71.8%
09/2017,9/1/2017,10/1/2017,59.4%,64.5%,67.5%,69.2%,70.1%,73.5%,75.6%,77.8%,79.1%,79.1%,79.1%,79.1%,79.1%,79.1%,79.1%
10/2017,10/1/2017,11/1/2017,47.2%,68.0%,70.9%,72.5%,73.7%,77.5%,80.4%,82.0%,82.6%,82.6%,82.6%,82.6%,82.6%,82.6%,82.6%
11/2017,11/1/2017,12/1/2017,60.5%,75.1%,78.2%,79.7%,80.6%,83.6%,85.1%,86.0%,86.2%,86.2%,86.2%,86.2%,86.2%,86.2%,86.2%
12/2017,12/1/2017,1/1/2018,56.1%,68.0%,78.3%,79.1%,79.8%,80.8%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%,81.2%
01/2018,1/1/2018,2/1/2018,45.5%,48.4%,51.1%,52.4%,53.2%,54.5%,55.9%,56.1%,56.1%,56.1%,56.1%,56.1%,56.1%,56.1%,56.1%
02/2018,2/1/2018,3/1/2018,43.5%,51.1%,52.2%,53.1%,53.9%,55.3%,56.5%,56.5%,56.5%,56.5%,56.5%,56.5%,56.5%,56.5%,56.5%
03/2018,3/1/2018,4/1/2018,55.3%,63.6%,65.3%,66.2%,66.8%,68.5%,68.8%,68.8%,68.8%,68.8%,68.8%,68.8%,68.8%,68.8%,68.8%
04/2018,4/1/2018,5/1/2018,55.8%,60.3%,63.8%,65.3%,66.8%,67.3%,67.3%,67.3%,67.3%,67.3%,67.3%,67.3%,67.3%,67.3%,67.3%
Quarter from 01/2014,1/1/2014,4/1/2014,68.3%,76.4%,80.0%,82.9%,85.2%,90.5%,91.4%,91.5%,91.5%,91.5%,91.5%,91.5%,91.5%,91.5%,91.5%
Quarter from 04/2014,4/1/2014,7/1/2014,77.2%,79.5%,81.6%,83.0%,84.1%,87.8%,89.2%,90.3%,90.3%,90.3%,90.3%,90.3%,90.3%,90.3%,90.3%
Quarter from 07/2014,7/1/2014,10/1/2014,69.3%,76.5%,78.0%,79.2%,80.5%,83.7%,85.0%,86.0%,86.4%,86.4%,86.4%,86.4%,86.4%,86.4%,86.4%
Quarter from 10/2014,10/1/2014,1/1/2015,63.6%,80.6%,82.0%,83.1%,84.1%,87.3%,88.5%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%
Quarter from 01/2015,1/1/2015,4/1/2015,72.8%,78.2%,80.3%,82.5%,84.3%,87.6%,89.0%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%,89.7%
Quarter from 04/2015,4/1/2015,7/1/2015,56.2%,70.3%,78.0%,80.6%,81.9%,84.7%,86.3%,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%,87.1%
Quarter from 07/2015,7/1/2015,10/1/2015,65.9%,71.3%,75.6%,77.8%,79.1%,82.0%,83.1%,84.0%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%,84.3%
Quarter from 10/2015,10/1/2015,1/1/2016,63.6%,72.2%,77.1%,80.3%,81.8%,83.3%,84.0%,84.7%,84.7%,84.7%,84.7%,84.7%,84.7%,84.7%,84.7%
Quarter from 01/2016,1/1/2016,4/1/2016,73.3%,81.8%,83.6%,84.8%,85.1%,86.3%,87.1%,87.7%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%
Quarter from 04/2016,4/1/2016,7/1/2016,75.1%,81.1%,83.0%,84.3%,85.2%,86.8%,87.3%,87.6%,87.6%,87.6%,87.6%,87.6%,87.6%,87.6%,87.6%
Quarter from 07/2016,7/1/2016,10/1/2016,75.9%,81.2%,83.9%,84.6%,85.1%,86.0%,86.4%,86.9%,87.3%,87.3%,87.3%,87.3%,87.3%,87.3%,87.3%
Quarter from 10/2016,10/1/2016,1/1/2017,79.5%,83.3%,85.6%,86.1%,86.6%,87.7%,88.4%,88.9%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%
Quarter from 01/2017,1/1/2017,4/1/2017,74.3%,79.0%,82.4%,82.8%,83.1%,84.5%,85.4%,86.1%,86.5%,86.8%,87.6%,87.6%,87.6%,87.6%,87.6%
Quarter from 04/2017,4/1/2017,7/1/2017,65.4%,69.4%,73.3%,74.7%,75.3%,77.5%,78.8%,79.7%,80.4%,80.8%,82.3%,82.3%,82.3%,82.3%,82.3%
Quarter from 07/2017,7/1/2017,10/1/2017,58.4%,69.2%,71.2%,72.2%,73.0%,75.4%,76.5%,77.4%,77.9%,78.4%,79.2%,79.2%,79.2%,79.2%,79.2%
Quarter from 10/2017,10/1/2017,1/1/2018,55.8%,70.8%,74.6%,76.5%,77.6%,79.8%,80.9%,81.7%,82.3%,82.6%,83.5%,83.5%,83.5%,83.5%,83.5%
Quarter from 01/2018,1/1/2018,4/1/2018,48.0%,54.2%,55.4%,56.1%,56.5%,58.1%,58.8%,59.2%,59.7%,60.1%,60.3%,60.3%,60.3%,60.3%,60.3%
Quarter from 04/2018,4/1/2018,7/1/2018,55.8%,60.3%,63.8%,65.3%,66.8%,67.3%,67.3%,67.3%,67.3%,67.3%,67.3%,67.3%,67.3%,67.3%,67.3%
