Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
02/2016,2/1/2016,3/1/2016,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%
03/2016,3/1/2016,4/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2016,4/1/2016,5/1/2016,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%
05/2016,5/1/2016,6/1/2016,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%
06/2016,6/1/2016,7/1/2016,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%
07/2016,7/1/2016,8/1/2016,68.8%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%
08/2016,8/1/2016,9/1/2016,69.2%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%
09/2016,9/1/2016,10/1/2016,45.6%,48.1%,48.1%,48.1%,48.1%,48.1%,48.1%,48.1%,48.1%,48.1%,48.1%,48.1%,48.1%,48.1%,48.1%
10/2016,10/1/2016,11/1/2016,53.5%,54.5%,54.5%,54.5%,54.5%,54.5%,54.5%,54.5%,54.5%,54.5%,54.5%,54.5%,54.5%,54.5%,54.5%
11/2016,11/1/2016,12/1/2016,72.9%,73.8%,73.8%,73.8%,73.8%,73.8%,73.8%,73.8%,73.8%,73.8%,73.8%,73.8%,73.8%,73.8%,73.8%
12/2016,12/1/2016,1/1/2017,52.5%,57.6%,57.6%,57.6%,57.6%,57.6%,57.6%,57.6%,57.6%,57.6%,57.6%,57.6%,57.6%,57.6%,57.6%
01/2017,1/1/2017,2/1/2017,81.8%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%
02/2017,2/1/2017,3/1/2017,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%
03/2017,3/1/2017,4/1/2017,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2017,4/1/2017,5/1/2017,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%
05/2017,5/1/2017,6/1/2017,83.6%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%,84.5%
06/2017,6/1/2017,7/1/2017,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%
07/2017,7/1/2017,8/1/2017,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%,88.0%
08/2017,8/1/2017,9/1/2017,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%
09/2017,9/1/2017,10/1/2017,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%
10/2017,10/1/2017,11/1/2017,91.5%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%
11/2017,11/1/2017,12/1/2017,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%
12/2017,12/1/2017,1/1/2018,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%
01/2018,1/1/2018,2/1/2018,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%
02/2018,2/1/2018,3/1/2018,81.7%,88.7%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%
03/2018,3/1/2018,4/1/2018,93.5%,95.2%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%
04/2018,4/1/2018,5/1/2018,98.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
