Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
08/2014,8/1/2014,9/1/2014,59.1%,96.6%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%
09/2014,9/1/2014,10/1/2014,53.6%,88.7%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%
10/2014,10/1/2014,11/1/2014,51.6%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%
11/2014,11/1/2014,12/1/2014,57.0%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%
12/2014,12/1/2014,1/1/2015,51.5%,90.4%,91.8%,92.2%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%,92.4%
01/2015,1/1/2015,2/1/2015,57.3%,97.4%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%
02/2015,2/1/2015,3/1/2015,63.6%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%
03/2015,3/1/2015,4/1/2015,48.7%,93.2%,97.8%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%
04/2015,4/1/2015,5/1/2015,68.8%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%
05/2015,5/1/2015,6/1/2015,57.3%,99.6%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%
06/2015,6/1/2015,7/1/2015,60.3%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%,98.1%
07/2015,7/1/2015,8/1/2015,59.6%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%
08/2015,8/1/2015,9/1/2015,63.0%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%
09/2015,9/1/2015,10/1/2015,59.6%,94.4%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%
10/2015,10/1/2015,11/1/2015,58.4%,96.2%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%
11/2015,11/1/2015,12/1/2015,50.9%,97.0%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%
12/2015,12/1/2015,1/1/2016,56.5%,96.3%,97.2%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%
01/2016,1/1/2016,2/1/2016,53.6%,92.9%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%
02/2016,2/1/2016,3/1/2016,47.6%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%
03/2016,3/1/2016,4/1/2016,50.3%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%
04/2016,4/1/2016,5/1/2016,57.0%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%
05/2016,5/1/2016,6/1/2016,55.8%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%
06/2016,6/1/2016,7/1/2016,66.7%,90.4%,91.1%,91.1%,91.1%,91.1%,91.1%,91.1%,91.1%,91.1%,91.1%,91.1%,91.1%,91.1%,91.1%
07/2016,7/1/2016,8/1/2016,55.7%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%
08/2016,8/1/2016,9/1/2016,75.8%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%
09/2016,9/1/2016,10/1/2016,66.9%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%
10/2016,10/1/2016,11/1/2016,56.2%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%
11/2016,11/1/2016,12/1/2016,46.6%,85.3%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%,86.9%
12/2016,12/1/2016,1/1/2017,52.7%,81.0%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%,81.3%
01/2017,1/1/2017,2/1/2017,45.7%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%
02/2017,2/1/2017,3/1/2017,47.0%,84.0%,85.4%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%
03/2017,3/1/2017,4/1/2017,48.5%,83.5%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%
04/2017,4/1/2017,5/1/2017,58.9%,85.5%,86.5%,87.0%,87.0%,87.0%,87.0%,87.0%,87.0%,87.0%,87.0%,87.0%,87.0%,87.0%,87.0%
05/2017,5/1/2017,6/1/2017,61.7%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%,79.8%
06/2017,6/1/2017,7/1/2017,70.0%,82.1%,82.6%,82.6%,82.6%,82.6%,82.6%,82.6%,82.6%,82.6%,82.6%,82.6%,82.6%,82.6%,82.6%
07/2017,7/1/2017,8/1/2017,56.6%,73.6%,74.5%,74.5%,74.5%,74.5%,74.5%,74.5%,74.5%,74.5%,74.5%,74.5%,74.5%,74.5%,74.5%
08/2017,8/1/2017,9/1/2017,57.2%,68.8%,73.2%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%,73.6%
09/2017,9/1/2017,10/1/2017,37.8%,75.3%,78.4%,80.7%,80.7%,80.7%,80.7%,80.7%,80.7%,80.7%,80.7%,80.7%,80.7%,80.7%,80.7%
10/2017,10/1/2017,11/1/2017,56.9%,77.0%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%,78.5%
11/2017,11/1/2017,12/1/2017,73.8%,75.7%,77.2%,77.7%,78.2%,78.2%,78.2%,78.2%,78.2%,78.2%,78.2%,78.2%,78.2%,78.2%,78.2%
12/2017,12/1/2017,1/1/2018,79.7%,83.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%
01/2018,1/1/2018,2/1/2018,55.7%,64.6%,72.2%,75.9%,76.9%,78.3%,78.3%,78.3%,78.3%,78.3%,78.3%,78.3%,78.3%,78.3%,78.3%
02/2018,2/1/2018,3/1/2018,45.8%,57.5%,64.5%,70.1%,74.3%,75.7%,75.7%,75.7%,75.7%,75.7%,75.7%,75.7%,75.7%,75.7%,75.7%
03/2018,3/1/2018,4/1/2018,22.3%,41.3%,57.9%,63.6%,65.2%,66.0%,66.0%,66.0%,66.0%,66.0%,66.0%,66.0%,66.0%,66.0%,66.0%
04/2018,4/1/2018,5/1/2018,43.1%,67.2%,71.6%,73.3%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%
Quarter from 01/2014,1/1/2014,4/1/2014,91.0%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%
Quarter from 04/2014,4/1/2014,7/1/2014,75.5%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%
Quarter from 07/2014,7/1/2014,10/1/2014,53.4%,93.5%,94.1%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%,94.2%
Quarter from 10/2014,10/1/2014,1/1/2015,46.5%,92.9%,93.5%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%
Quarter from 01/2015,1/1/2015,4/1/2015,55.8%,96.1%,97.8%,98.5%,98.5%,98.5%,98.5%,98.5%,98.5%,98.5%,98.5%,98.5%,98.5%,98.5%,98.5%
Quarter from 04/2015,4/1/2015,7/1/2015,56.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%
Quarter from 07/2015,7/1/2015,10/1/2015,60.9%,96.7%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%
Quarter from 10/2015,10/1/2015,1/1/2016,55.6%,96.4%,97.0%,97.2%,97.3%,97.3%,97.3%,97.3%,97.3%,97.3%,97.3%,97.3%,97.3%,97.3%,97.3%
Quarter from 01/2016,1/1/2016,4/1/2016,50.5%,88.0%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%
Quarter from 04/2016,4/1/2016,7/1/2016,60.3%,87.9%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%
Quarter from 07/2016,7/1/2016,10/1/2016,67.4%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%
Quarter from 10/2016,10/1/2016,1/1/2017,44.9%,85.6%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%
Quarter from 01/2017,1/1/2017,4/1/2017,44.9%,84.1%,84.8%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%,84.9%
Quarter from 04/2017,4/1/2017,7/1/2017,52.8%,82.3%,82.7%,82.8%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%,83.0%
Quarter from 07/2017,7/1/2017,10/1/2017,47.6%,72.6%,75.8%,76.9%,77.0%,77.2%,77.2%,77.2%,77.2%,77.2%,77.2%,77.2%,77.2%,77.2%,77.2%
Quarter from 10/2017,10/1/2017,1/1/2018,70.8%,77.7%,79.3%,80.8%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%,81.0%
Quarter from 01/2018,1/1/2018,4/1/2018,39.1%,51.7%,62.1%,68.4%,71.5%,73.0%,73.0%,73.0%,73.0%,73.0%,73.0%,73.0%,73.0%,73.0%,73.0%
Quarter from 04/2018,4/1/2018,7/1/2018,43.1%,67.2%,71.6%,73.3%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%,74.1%
