Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
05/2017,5/1/2017,6/1/2017,50.5%,70.2%,80.3%,87.3%,89.3%,93.0%,95.0%,96.7%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2017,6/1/2017,7/1/2017,42.1%,53.7%,62.8%,71.6%,78.9%,91.2%,94.4%,96.1%,97.9%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2017,7/1/2017,8/1/2017,43.8%,70.4%,81.6%,87.2%,90.1%,95.4%,97.7%,99.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2017,8/1/2017,9/1/2017,33.8%,52.1%,59.7%,66.2%,72.5%,88.8%,91.3%,92.6%,93.7%,94.9%,99.3%,100.0%,100.0%,100.0%,100.0%
09/2017,9/1/2017,10/1/2017,48.8%,66.3%,78.9%,83.5%,86.1%,92.3%,94.3%,95.6%,96.9%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2017,10/1/2017,11/1/2017,27.1%,45.1%,58.3%,68.8%,72.8%,85.7%,89.5%,91.1%,92.3%,93.0%,95.7%,100.0%,100.0%,100.0%,100.0%
11/2017,11/1/2017,12/1/2017,39.3%,52.8%,63.4%,70.0%,76.4%,87.3%,89.4%,90.4%,91.5%,92.6%,95.2%,100.0%,100.0%,100.0%,100.0%
12/2017,12/1/2017,1/1/2018,26.2%,48.7%,63.4%,70.0%,74.6%,86.5%,90.6%,92.5%,94.0%,94.8%,98.0%,100.0%,100.0%,100.0%,100.0%
01/2018,1/1/2018,2/1/2018,43.2%,57.1%,64.2%,69.0%,73.2%,89.1%,93.5%,94.8%,95.8%,96.3%,98.4%,100.0%,100.0%,100.0%,100.0%
02/2018,2/1/2018,3/1/2018,43.1%,57.8%,62.8%,67.5%,72.0%,85.5%,90.6%,92.8%,94.1%,94.9%,97.3%,100.0%,100.0%,100.0%,100.0%
03/2018,3/1/2018,4/1/2018,29.8%,57.5%,65.2%,71.6%,76.7%,90.2%,93.8%,95.0%,95.9%,96.4%,97.6%,100.0%,100.0%,100.0%,100.0%
04/2018,4/1/2018,5/1/2018,32.5%,60.9%,69.3%,73.5%,77.5%,90.7%,94.5%,96.3%,97.4%,98.4%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2015,10/1/2015,1/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,70.2%,91.5%,95.7%,97.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2016,7/1/2016,10/1/2016,46.8%,67.3%,81.1%,91.1%,94.3%,97.0%,98.2%,99.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2016,10/1/2016,1/1/2017,54.2%,68.0%,73.4%,76.7%,79.4%,84.6%,87.5%,89.7%,91.1%,92.4%,97.8%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2017,1/1/2017,4/1/2017,31.0%,44.0%,56.2%,61.8%,67.4%,81.0%,84.4%,86.6%,88.4%,89.5%,94.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2017,4/1/2017,7/1/2017,33.0%,47.0%,59.8%,71.4%,77.9%,88.2%,90.4%,91.7%,92.7%,93.3%,95.5%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2017,7/1/2017,10/1/2017,37.0%,61.8%,69.4%,73.9%,78.3%,90.3%,92.3%,93.2%,94.1%,94.7%,96.5%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2017,10/1/2017,1/1/2018,31.7%,45.6%,52.8%,59.5%,65.3%,83.6%,88.2%,89.5%,90.4%,91.2%,93.2%,96.2%,100.0%,100.0%,100.0%
Quarter from 01/2018,1/1/2018,4/1/2018,35.4%,52.5%,62.7%,67.2%,71.1%,86.2%,91.3%,93.1%,94.0%,94.6%,95.9%,97.7%,100.0%,100.0%,100.0%
