Release,Date from,Date to,Top 1 developers commits as percent of all,Top 2 developers commits as percent of all,Top 3 developers commits as percent of all,Top 4 developers commits as percent of all,Top 5 developers commits as percent of all,Top 10 developers commits as percent of all,Top 15 developers commits as percent of all,Top 20 developers commits as percent of all,Top 25 developers commits as percent of all,Top 30 developers commits as percent of all,Top 50 developers commits as percent of all,Top 100 developers commits as percent of all,Top 200 developers commits as percent of all,Top 500 developers commits as percent of all,Top 1000 developers commits as percent of all
08/2017,8/1/2017,9/1/2017,8.0%,15.1%,21.5%,27.7%,33.8%,56.9%,73.0%,83.3%,91.0%,96.1%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2017,9/1/2017,10/1/2017,8.7%,16.2%,23.4%,29.1%,34.5%,55.9%,70.6%,82.9%,91.3%,96.7%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2017,10/1/2017,11/1/2017,8.3%,16.4%,22.8%,29.0%,34.9%,59.3%,74.1%,84.0%,90.7%,95.7%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2017,11/1/2017,12/1/2017,11.2%,19.2%,26.9%,33.0%,38.8%,62.2%,77.2%,87.8%,94.9%,98.1%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2017,12/1/2017,1/1/2018,14.7%,23.9%,29.8%,35.7%,41.3%,62.8%,76.1%,86.4%,93.2%,97.6%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2018,1/1/2018,2/1/2018,8.7%,17.4%,25.2%,32.3%,39.4%,61.6%,74.5%,84.5%,91.6%,96.8%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2018,2/1/2018,3/1/2018,11.6%,20.2%,27.0%,33.4%,39.1%,60.6%,76.8%,87.1%,93.5%,97.6%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2018,3/1/2018,4/1/2018,9.1%,16.5%,23.3%,30.0%,36.6%,60.0%,73.2%,83.5%,90.7%,95.1%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2018,4/1/2018,5/1/2018,10.1%,19.1%,28.2%,36.2%,42.0%,61.7%,77.1%,87.8%,95.2%,98.4%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2015,1/1/2015,4/1/2015,13.9%,26.4%,37.2%,47.2%,53.4%,77.0%,91.2%,97.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2015,4/1/2015,7/1/2015,13.2%,25.6%,37.3%,46.3%,54.4%,78.0%,90.0%,96.2%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2015,7/1/2015,10/1/2015,9.8%,19.3%,28.4%,37.2%,44.1%,71.3%,88.5%,97.4%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2015,10/1/2015,1/1/2016,11.8%,23.0%,32.7%,41.6%,49.9%,74.2%,88.1%,96.7%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,19.0%,30.1%,39.9%,48.2%,56.1%,76.5%,89.4%,94.8%,98.3%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,48.3%,57.6%,65.6%,72.7%,77.1%,90.0%,96.2%,98.4%,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2016,7/1/2016,10/1/2016,17.6%,34.7%,43.3%,49.6%,54.9%,76.1%,87.5%,93.8%,97.4%,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2016,10/1/2016,1/1/2017,11.2%,20.5%,28.0%,32.7%,37.5%,57.8%,73.1%,84.5%,92.7%,97.8%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2017,1/1/2017,4/1/2017,13.9%,27.6%,33.2%,38.0%,42.2%,59.6%,72.9%,83.7%,92.1%,95.8%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2017,4/1/2017,7/1/2017,9.2%,18.0%,24.4%,29.8%,35.0%,54.9%,69.1%,81.6%,91.9%,96.6%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2017,7/1/2017,10/1/2017,7.0%,12.2%,17.2%,22.2%,27.1%,48.4%,65.1%,78.3%,88.6%,94.7%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2017,10/1/2017,1/1/2018,7.2%,14.2%,20.8%,26.5%,31.6%,53.0%,71.9%,82.2%,90.2%,95.6%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2018,1/1/2018,4/1/2018,7.9%,15.3%,22.4%,28.5%,34.4%,55.7%,69.7%,81.2%,89.0%,93.4%,100.0%,100.0%,100.0%,100.0%,100.0%
