Release,Date from,Date to,Top 1 committers commits as percent of all,Top 2 committers commits as percent of all,Top 3 committers commits as percent of all,Top 5 committers commits as percent of all,Top 10 committers commits as percent of all,Top 15 committers commits as percent of all,Top 20 committers commits as percent of all,Top 25 committers commits as percent of all,Top 30 committers commits as percent of all,Top 50 committers commits as percent of all,Top 100 committers commits as percent of all,Top 200 committers commits as percent of all,Top 500 committers commits as percent of all,Top 1000 committers commits as percent of all
05/2015,5/1/2015,6/1/2015,10.0%,18.7%,24.6%,34.3%,47.6%,56.5%,64.0%,70.8%,76.2%,90.3%,100.0%,100.0%,100.0%,100.0%
06/2015,6/1/2015,7/1/2015,11.2%,18.1%,24.5%,33.6%,49.9%,61.1%,70.8%,78.4%,84.4%,95.9%,100.0%,100.0%,100.0%,100.0%
07/2015,7/1/2015,8/1/2015,8.3%,14.3%,19.1%,28.3%,43.6%,55.4%,65.1%,72.6%,78.9%,94.2%,100.0%,100.0%,100.0%,100.0%
08/2015,8/1/2015,9/1/2015,8.0%,11.5%,14.8%,20.8%,33.0%,43.1%,52.6%,61.4%,68.6%,89.5%,100.0%,100.0%,100.0%,100.0%
09/2015,9/1/2015,10/1/2015,10.8%,18.2%,22.3%,29.3%,42.9%,53.7%,62.1%,69.4%,75.2%,90.8%,99.8%,100.0%,100.0%,100.0%
10/2015,10/1/2015,11/1/2015,6.6%,11.6%,15.8%,23.9%,36.7%,46.5%,55.3%,63.0%,69.2%,85.4%,99.3%,100.0%,100.0%,100.0%
11/2015,11/1/2015,12/1/2015,7.6%,13.6%,19.0%,28.5%,43.4%,54.4%,63.4%,70.2%,74.9%,88.8%,99.5%,100.0%,100.0%,100.0%
12/2015,12/1/2015,1/1/2016,5.6%,10.9%,15.2%,23.8%,37.6%,48.2%,56.4%,63.1%,69.0%,85.4%,99.3%,100.0%,100.0%,100.0%
01/2016,1/1/2016,2/1/2016,6.4%,10.9%,15.4%,23.6%,37.0%,47.5%,56.0%,63.8%,70.0%,85.6%,99.0%,100.0%,100.0%,100.0%
02/2016,2/1/2016,3/1/2016,5.3%,9.4%,13.1%,20.1%,32.2%,42.4%,50.8%,57.4%,63.5%,80.9%,97.9%,100.0%,100.0%,100.0%
03/2016,3/1/2016,4/1/2016,8.4%,12.6%,16.8%,22.7%,35.8%,46.0%,54.3%,61.0%,66.3%,81.3%,97.0%,100.0%,100.0%,100.0%
04/2016,4/1/2016,5/1/2016,8.2%,14.4%,19.6%,27.2%,41.7%,52.9%,61.1%,67.6%,72.8%,86.9%,97.5%,100.0%,100.0%,100.0%
05/2016,5/1/2016,6/1/2016,5.3%,10.6%,15.1%,22.9%,35.1%,44.1%,51.6%,58.2%,64.1%,80.9%,96.9%,100.0%,100.0%,100.0%
06/2016,6/1/2016,7/1/2016,8.9%,13.0%,17.0%,23.3%,34.3%,42.7%,49.9%,56.6%,62.9%,80.3%,96.9%,100.0%,100.0%,100.0%
07/2016,7/1/2016,8/1/2016,5.4%,10.0%,14.4%,20.7%,32.3%,42.3%,50.0%,57.0%,62.8%,77.5%,94.6%,100.0%,100.0%,100.0%
08/2016,8/1/2016,9/1/2016,8.4%,12.4%,15.6%,21.0%,32.0%,41.0%,48.4%,54.7%,60.3%,76.2%,94.0%,100.0%,100.0%,100.0%
09/2016,9/1/2016,10/1/2016,3.2%,6.4%,9.4%,15.0%,27.5%,36.7%,44.4%,51.2%,57.2%,73.2%,91.4%,100.0%,100.0%,100.0%
10/2016,10/1/2016,11/1/2016,4.7%,9.2%,12.3%,17.7%,29.3%,38.7%,45.8%,51.4%,56.2%,70.8%,90.1%,100.0%,100.0%,100.0%
11/2016,11/1/2016,12/1/2016,4.0%,7.6%,11.2%,17.3%,28.8%,36.9%,43.7%,49.5%,54.5%,70.4%,89.8%,99.9%,100.0%,100.0%
12/2016,12/1/2016,1/1/2017,4.8%,9.0%,12.1%,18.0%,29.0%,37.7%,43.8%,49.2%,53.9%,68.2%,88.4%,99.7%,100.0%,100.0%
01/2017,1/1/2017,2/1/2017,5.8%,9.6%,13.2%,19.8%,29.2%,36.5%,42.2%,47.2%,51.8%,66.5%,88.1%,99.5%,100.0%,100.0%
02/2017,2/1/2017,3/1/2017,4.7%,8.1%,11.4%,16.3%,27.0%,35.0%,41.5%,47.4%,52.5%,66.1%,84.8%,98.6%,100.0%,100.0%
03/2017,3/1/2017,4/1/2017,8.4%,12.0%,15.2%,20.3%,29.4%,36.9%,42.8%,48.0%,52.8%,66.9%,85.9%,98.6%,100.0%,100.0%
04/2017,4/1/2017,5/1/2017,7.6%,11.7%,15.4%,20.9%,29.8%,37.5%,44.1%,49.3%,53.9%,67.6%,86.6%,99.1%,100.0%,100.0%
05/2017,5/1/2017,6/1/2017,9.6%,13.4%,16.8%,21.2%,30.0%,36.3%,41.9%,46.8%,51.0%,64.2%,83.7%,98.3%,100.0%,100.0%
06/2017,6/1/2017,7/1/2017,6.7%,10.0%,13.2%,19.1%,28.6%,35.3%,41.3%,46.6%,51.3%,65.0%,84.6%,98.8%,100.0%,100.0%
07/2017,7/1/2017,8/1/2017,3.6%,7.1%,10.5%,16.8%,29.3%,38.1%,44.0%,49.3%,53.9%,67.8%,86.1%,98.2%,100.0%,100.0%
08/2017,8/1/2017,9/1/2017,8.3%,14.3%,18.4%,23.9%,34.4%,41.1%,46.5%,51.0%,54.9%,66.9%,84.3%,97.5%,100.0%,100.0%
09/2017,9/1/2017,10/1/2017,4.5%,8.7%,12.8%,20.1%,31.2%,38.8%,45.2%,50.5%,55.2%,68.8%,86.5%,98.4%,100.0%,100.0%
10/2017,10/1/2017,11/1/2017,6.1%,10.7%,15.2%,21.6%,31.8%,39.6%,45.4%,50.2%,54.5%,67.4%,85.5%,98.0%,100.0%,100.0%
11/2017,11/1/2017,12/1/2017,7.9%,14.2%,17.6%,23.6%,33.3%,40.6%,46.6%,51.3%,55.3%,67.9%,86.3%,98.2%,100.0%,100.0%
12/2017,12/1/2017,1/1/2018,7.7%,14.0%,18.2%,25.4%,36.1%,43.4%,49.4%,53.8%,57.7%,69.5%,85.9%,98.9%,100.0%,100.0%
01/2018,1/1/2018,2/1/2018,9.8%,14.4%,18.6%,24.8%,36.0%,43.8%,49.7%,54.9%,59.2%,70.9%,87.4%,98.3%,100.0%,100.0%
02/2018,2/1/2018,3/1/2018,9.3%,13.6%,17.1%,23.0%,33.0%,40.1%,46.1%,51.1%,55.1%,67.8%,85.9%,98.4%,100.0%,100.0%
03/2018,3/1/2018,4/1/2018,11.4%,16.3%,20.9%,26.4%,36.4%,43.8%,50.1%,55.1%,59.3%,71.1%,87.1%,98.3%,100.0%,100.0%
04/2018,4/1/2018,5/1/2018,8.6%,15.3%,20.2%,26.4%,35.8%,42.8%,48.6%,53.4%,57.9%,70.7%,88.7%,99.9%,100.0%,100.0%
Quarter from 01/2014,1/1/2014,4/1/2014,28.7%,50.0%,61.1%,72.8%,88.5%,94.1%,97.6%,99.1%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2014,4/1/2014,7/1/2014,17.5%,31.5%,43.4%,61.1%,76.7%,84.0%,88.3%,91.2%,93.6%,98.4%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2014,7/1/2014,10/1/2014,13.8%,22.8%,29.2%,39.6%,54.8%,63.2%,69.6%,74.8%,78.8%,89.5%,97.8%,100.0%,100.0%,100.0%
Quarter from 10/2014,10/1/2014,1/1/2015,8.1%,12.7%,17.0%,25.3%,40.9%,52.8%,60.0%,65.8%,70.8%,83.4%,94.7%,98.9%,100.0%,100.0%
Quarter from 01/2015,1/1/2015,4/1/2015,11.7%,17.4%,22.2%,31.5%,47.5%,57.1%,65.5%,72.7%,78.0%,91.8%,99.9%,100.0%,100.0%,100.0%
Quarter from 04/2015,4/1/2015,7/1/2015,7.7%,14.7%,20.3%,25.9%,36.2%,45.5%,54.0%,61.1%,67.8%,86.2%,99.5%,100.0%,100.0%,100.0%
Quarter from 07/2015,7/1/2015,10/1/2015,6.7%,11.8%,14.9%,19.9%,30.6%,40.3%,49.4%,56.5%,62.9%,82.1%,98.9%,100.0%,100.0%,100.0%
Quarter from 10/2015,10/1/2015,1/1/2016,6.1%,10.6%,13.9%,20.5%,33.0%,41.7%,49.5%,56.6%,62.9%,80.1%,97.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,4.7%,9.3%,12.8%,18.9%,30.6%,39.5%,47.4%,54.2%,60.1%,76.5%,94.7%,100.0%,100.0%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,6.0%,10.0%,13.5%,19.8%,34.0%,42.9%,49.6%,55.5%,60.7%,77.1%,94.8%,100.0%,100.0%,100.0%
Quarter from 07/2016,7/1/2016,10/1/2016,4.3%,7.4%,10.4%,16.0%,26.9%,36.4%,44.4%,50.7%,55.7%,69.3%,88.9%,99.3%,100.0%,100.0%
Quarter from 10/2016,10/1/2016,1/1/2017,3.0%,5.8%,8.5%,13.7%,24.9%,33.5%,40.3%,45.6%,50.1%,64.7%,85.3%,98.4%,100.0%,100.0%
Quarter from 01/2017,1/1/2017,4/1/2017,5.7%,8.7%,11.0%,15.2%,23.9%,30.9%,36.8%,41.9%,46.3%,60.2%,80.7%,97.2%,100.0%,100.0%
Quarter from 04/2017,4/1/2017,7/1/2017,8.0%,11.5%,14.7%,19.0%,27.0%,33.5%,38.6%,43.0%,47.2%,60.4%,80.9%,97.2%,100.0%,100.0%
Quarter from 07/2017,7/1/2017,10/1/2017,5.7%,10.1%,13.3%,19.5%,30.1%,37.2%,42.8%,47.5%,51.4%,63.4%,80.8%,95.9%,100.0%,100.0%
Quarter from 10/2017,10/1/2017,1/1/2018,6.3%,11.8%,14.5%,19.3%,30.1%,37.1%,42.7%,47.5%,51.3%,63.3%,82.0%,96.3%,100.0%,100.0%
Quarter from 01/2018,1/1/2018,4/1/2018,10.2%,14.5%,17.9%,23.1%,33.0%,40.3%,45.8%,50.1%,53.6%,65.2%,81.9%,95.9%,100.0%,100.0%
Quarter from 04/2018,4/1/2018,7/1/2018,8.6%,15.3%,20.2%,26.4%,35.8%,42.8%,48.6%,53.4%,57.9%,70.7%,88.7%,99.9%,100.0%,100.0%
