Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
06/2017,6/1/2017,7/1/2017,45.0%,60.0%,70.0%,80.0%,85.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%
07/2017,7/1/2017,8/1/2017,54.2%,83.3%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%
08/2017,8/1/2017,9/1/2017,55.6%,66.7%,77.8%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%,85.2%
09/2017,9/1/2017,10/1/2017,21.6%,43.2%,59.5%,75.7%,89.2%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%
10/2017,10/1/2017,11/1/2017,33.3%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%,55.6%
11/2017,11/1/2017,12/1/2017,47.6%,71.4%,73.8%,76.2%,76.2%,76.2%,76.2%,76.2%,76.2%,76.2%,76.2%,76.2%,76.2%,76.2%,76.2%
12/2017,12/1/2017,1/1/2018,76.5%,85.3%,92.6%,95.6%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%
01/2018,1/1/2018,2/1/2018,20.8%,37.7%,50.9%,60.4%,64.2%,69.8%,69.8%,69.8%,69.8%,69.8%,69.8%,69.8%,69.8%,69.8%,69.8%
02/2018,2/1/2018,3/1/2018,39.0%,50.6%,62.3%,71.4%,80.5%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%,81.8%
03/2018,3/1/2018,4/1/2018,19.1%,38.3%,57.4%,66.0%,71.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%,72.3%
04/2018,4/1/2018,5/1/2018,22.6%,43.4%,56.6%,67.9%,73.6%,75.5%,75.5%,75.5%,75.5%,75.5%,75.5%,75.5%,75.5%,75.5%,75.5%
Quarter from 10/2015,10/1/2015,1/1/2016,72.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,56.7%,72.4%,86.0%,93.8%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%
Quarter from 04/2016,4/1/2016,7/1/2016,74.3%,92.9%,95.6%,97.3%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%
Quarter from 07/2016,7/1/2016,10/1/2016,67.5%,84.6%,88.9%,92.8%,96.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2016,10/1/2016,1/1/2017,43.4%,53.5%,62.4%,69.9%,76.5%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%,80.1%
Quarter from 01/2017,1/1/2017,4/1/2017,53.9%,66.4%,78.1%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%,84.4%
Quarter from 04/2017,4/1/2017,7/1/2017,38.1%,65.3%,74.6%,82.2%,87.3%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%,88.1%
Quarter from 07/2017,7/1/2017,10/1/2017,40.9%,61.4%,70.5%,77.3%,84.1%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%,89.8%
Quarter from 10/2017,10/1/2017,1/1/2018,38.7%,57.7%,75.2%,80.3%,81.8%,82.5%,82.5%,82.5%,82.5%,82.5%,82.5%,82.5%,82.5%,82.5%,82.5%
Quarter from 01/2018,1/1/2018,4/1/2018,21.4%,37.5%,52.7%,62.9%,70.5%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%
