Release,Date from,Date to,Top 1 committers commits as percent of all,Top 2 committers commits as percent of all,Top 3 committers commits as percent of all,Top 5 committers commits as percent of all,Top 10 committers commits as percent of all,Top 15 committers commits as percent of all,Top 20 committers commits as percent of all,Top 25 committers commits as percent of all,Top 30 committers commits as percent of all,Top 50 committers commits as percent of all,Top 100 committers commits as percent of all,Top 200 committers commits as percent of all,Top 500 committers commits as percent of all,Top 1000 committers commits as percent of all
v1.5.0 - v1.6.0,1/23/2017,4/14/2017,21.4%,42.8%,58.3%,81.5%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.6.0 - v1.7.0,4/14/2017,6/7/2017,20.3%,39.1%,53.6%,69.5%,95.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.7.0 - v1.8.0,6/7/2017,10/6/2017,22.9%,45.3%,65.8%,79.0%,92.8%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.8.0 - v2.0.0,10/6/2017,11/8/2017,27.6%,51.4%,66.7%,83.5%,98.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v2.0.0 - v2.1.0,11/8/2017,1/19/2018,25.4%,40.8%,53.6%,73.4%,93.9%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v2.1.0 - v2.2.0,1/19/2018,3/8/2018,30.7%,54.2%,64.3%,79.3%,93.5%,99.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v2.2.0 - now,3/8/2018,4/12/2018,40.3%,58.2%,69.2%,79.1%,95.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2014-02-06,2/6/2014,3/6/2014,66.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2014-03-06,3/6/2014,4/6/2014,77.1%,94.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2014-04-06,4/6/2014,5/6/2014,95.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2014-05-06,5/6/2014,6/6/2014,59.1%,95.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2014-06-06,6/6/2014,7/6/2014,51.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2014-07-06,7/6/2014,8/6/2014,53.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2014-08-06,8/6/2014,9/6/2014,62.9%,82.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2014-09-06,9/6/2014,10/6/2014,73.1%,96.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2014-10-06,10/6/2014,11/6/2014,71.4%,87.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2014-11-06,11/6/2014,12/6/2014,95.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2014-12-06,12/6/2014,1/6/2015,48.3%,71.7%,86.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2015-01-06,1/6/2015,2/6/2015,49.8%,81.2%,92.0%,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2015-02-06,2/6/2015,3/6/2015,44.4%,73.8%,86.3%,98.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2015-03-06,3/6/2015,4/6/2015,58.3%,83.9%,94.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2015-04-06,4/6/2015,5/6/2015,24.7%,48.6%,67.4%,86.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2015-05-06,5/6/2015,6/6/2015,44.6%,72.2%,83.3%,94.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2015-06-06,6/6/2015,7/6/2015,43.1%,73.9%,82.5%,95.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2015-07-06,7/6/2015,8/6/2015,39.5%,56.7%,70.8%,90.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2015-08-06,8/6/2015,9/6/2015,39.4%,57.7%,74.0%,97.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2015-09-06,9/6/2015,10/6/2015,42.6%,67.8%,81.8%,93.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2015-10-06,10/6/2015,11/6/2015,28.5%,53.5%,77.2%,98.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2015-11-06,11/6/2015,12/6/2015,44.8%,64.0%,77.8%,95.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2015-12-06,12/6/2015,1/6/2016,54.2%,74.3%,87.5%,97.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-01-06,1/6/2016,2/6/2016,27.3%,53.7%,68.8%,90.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-02-06,2/6/2016,3/6/2016,36.6%,52.5%,67.7%,91.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-03-06,3/6/2016,4/6/2016,27.4%,50.0%,65.1%,82.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-04-06,4/6/2016,5/6/2016,26.7%,44.0%,56.6%,79.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-05-06,5/6/2016,6/6/2016,28.7%,47.5%,64.9%,86.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-06-06,6/6/2016,7/6/2016,51.3%,64.2%,76.7%,91.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-07-06,7/6/2016,8/6/2016,23.3%,45.1%,61.1%,86.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-08-06,8/6/2016,9/6/2016,25.4%,47.5%,64.4%,83.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-09-06,9/6/2016,10/6/2016,22.3%,39.4%,55.7%,84.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-10-06,10/6/2016,11/6/2016,26.4%,48.4%,67.1%,88.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-11-06,11/6/2016,12/6/2016,33.9%,53.1%,71.9%,92.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016-12-06,12/6/2016,1/6/2017,35.6%,57.0%,74.5%,90.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017-01-06,1/6/2017,2/6/2017,30.1%,47.7%,61.7%,79.8%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017-02-06,2/6/2017,3/6/2017,33.6%,56.3%,74.9%,88.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017-03-06,3/6/2017,4/6/2017,20.1%,39.1%,54.5%,82.3%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017-04-06,4/6/2017,5/6/2017,19.8%,36.9%,53.7%,73.0%,97.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017-05-06,5/6/2017,6/6/2017,21.1%,40.1%,54.3%,75.9%,98.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017-06-06,6/6/2017,7/6/2017,23.1%,45.4%,67.7%,79.2%,96.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017-07-06,7/6/2017,8/6/2017,36.4%,55.0%,67.7%,83.6%,97.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017-08-06,8/6/2017,9/6/2017,26.3%,45.0%,62.7%,80.0%,95.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017-09-06,9/6/2017,10/6/2017,28.8%,50.2%,65.2%,80.5%,96.3%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017-10-06,10/6/2017,11/6/2017,24.9%,49.2%,67.5%,83.1%,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017-11-06,11/6/2017,12/6/2017,23.5%,45.0%,58.1%,78.2%,98.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017-12-06,12/6/2017,1/6/2018,25.4%,47.9%,60.4%,72.2%,95.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2018-01-06,1/6/2018,2/6/2018,29.4%,51.3%,62.6%,76.1%,95.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2018-02-06,2/6/2018,3/6/2018,29.1%,50.7%,66.4%,84.0%,95.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2018-03-06,3/6/2018,4/6/2018,39.6%,65.9%,75.6%,86.7%,98.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2018-04-06,4/6/2018,5/6/2018,36.2%,53.2%,63.8%,80.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2014-01,1/1/2014,4/1/2014,71.4%,94.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2014-04,4/1/2014,7/1/2014,78.3%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2014-07,7/1/2014,10/1/2014,50.5%,76.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2014-10,10/1/2014,1/1/2015,64.3%,90.7%,98.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2015-01,1/1/2015,4/1/2015,48.8%,68.9%,88.3%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2015-04,4/1/2015,7/1/2015,38.6%,66.3%,75.4%,90.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2015-07,7/1/2015,10/1/2015,35.4%,62.3%,73.5%,90.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2015-10,10/1/2015,1/1/2016,39.8%,60.7%,73.8%,90.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2016-01,1/1/2016,4/1/2016,26.7%,45.4%,63.6%,88.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2016-04,4/1/2016,7/1/2016,25.1%,47.7%,57.8%,76.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2016-07,7/1/2016,10/1/2016,24.0%,41.5%,57.5%,81.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2016-10,10/1/2016,1/1/2017,26.6%,48.1%,66.0%,86.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2017-01,1/1/2017,4/1/2017,21.9%,43.4%,57.3%,77.5%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2017-04,4/1/2017,7/1/2017,20.5%,39.4%,55.3%,68.7%,95.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2017-07,7/1/2017,10/1/2017,24.0%,46.6%,66.9%,81.6%,95.3%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2017-10,10/1/2017,1/1/2018,23.7%,43.5%,58.1%,78.7%,95.9%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2018-01,1/1/2018,4/1/2018,29.9%,56.6%,66.3%,78.9%,93.1%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2018-04,4/1/2018,7/1/2018,28.2%,47.4%,57.7%,75.6%,97.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
