Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
04/2016,4/1/2016,5/1/2016,23.4%,37.5%,49.7%,59.1%,66.8%,83.8%,87.5%,89.9%,91.5%,92.7%,96.1%,100.0%,100.0%,100.0%,100.0%
05/2016,5/1/2016,6/1/2016,16.3%,31.8%,43.9%,52.3%,59.4%,76.1%,80.1%,82.6%,84.6%,86.0%,90.9%,98.1%,100.0%,100.0%,100.0%
06/2016,6/1/2016,7/1/2016,33.4%,44.6%,53.9%,58.3%,61.7%,71.0%,75.6%,78.7%,81.1%,83.4%,89.9%,98.2%,100.0%,100.0%,100.0%
07/2016,7/1/2016,8/1/2016,21.9%,40.8%,54.0%,62.2%,68.9%,79.1%,82.2%,84.2%,85.7%,87.1%,92.3%,99.4%,100.0%,100.0%,100.0%
08/2016,8/1/2016,9/1/2016,20.4%,32.7%,43.6%,54.2%,63.1%,77.6%,80.4%,82.4%,84.1%,85.9%,91.0%,97.8%,100.0%,100.0%,100.0%
09/2016,9/1/2016,10/1/2016,13.7%,26.9%,39.4%,50.1%,60.1%,77.3%,80.1%,82.1%,83.8%,85.5%,90.0%,97.0%,100.0%,100.0%,100.0%
10/2016,10/1/2016,11/1/2016,26.3%,39.0%,49.9%,56.4%,62.7%,75.1%,78.6%,81.3%,83.2%,84.6%,90.1%,97.2%,100.0%,100.0%,100.0%
11/2016,11/1/2016,12/1/2016,21.5%,37.3%,52.6%,60.9%,64.0%,71.6%,75.2%,77.3%,79.4%,80.9%,86.4%,94.9%,100.0%,100.0%,100.0%
12/2016,12/1/2016,1/1/2017,19.1%,31.4%,41.7%,48.7%,54.5%,62.6%,66.6%,69.8%,72.6%,74.6%,82.5%,94.2%,100.0%,100.0%,100.0%
01/2017,1/1/2017,2/1/2017,18.6%,30.0%,38.6%,46.2%,52.6%,66.4%,71.3%,74.5%,76.7%,78.4%,84.4%,92.9%,100.0%,100.0%,100.0%
02/2017,2/1/2017,3/1/2017,18.3%,36.2%,52.4%,59.2%,64.0%,74.1%,76.8%,78.6%,80.4%,82.3%,87.1%,94.9%,100.0%,100.0%,100.0%
03/2017,3/1/2017,4/1/2017,24.2%,38.6%,47.2%,53.1%,58.8%,70.7%,73.5%,75.5%,77.0%,78.5%,82.8%,90.5%,100.0%,100.0%,100.0%
04/2017,4/1/2017,5/1/2017,21.1%,31.6%,41.7%,50.5%,58.6%,76.7%,81.4%,83.8%,85.4%,86.6%,90.1%,95.5%,100.0%,100.0%,100.0%
05/2017,5/1/2017,6/1/2017,17.8%,33.6%,42.5%,49.6%,54.9%,73.4%,79.1%,81.5%,82.9%,84.2%,88.0%,94.0%,100.0%,100.0%,100.0%
06/2017,6/1/2017,7/1/2017,20.4%,32.7%,41.2%,45.2%,49.1%,64.3%,72.1%,76.1%,78.3%,79.9%,84.8%,91.8%,100.0%,100.0%,100.0%
07/2017,7/1/2017,8/1/2017,29.4%,39.1%,45.8%,51.5%,56.4%,70.2%,74.7%,77.6%,79.3%,80.8%,85.1%,91.3%,100.0%,100.0%,100.0%
08/2017,8/1/2017,9/1/2017,18.2%,29.4%,38.4%,46.0%,49.8%,62.4%,68.6%,72.6%,75.2%,77.2%,82.2%,90.3%,100.0%,100.0%,100.0%
09/2017,9/1/2017,10/1/2017,16.0%,31.0%,40.9%,47.6%,53.4%,63.5%,68.8%,71.6%,73.9%,75.6%,80.9%,89.4%,100.0%,100.0%,100.0%
10/2017,10/1/2017,11/1/2017,20.0%,32.7%,44.9%,50.8%,55.6%,68.4%,72.9%,75.5%,77.2%,78.6%,83.0%,90.4%,98.9%,100.0%,100.0%
11/2017,11/1/2017,12/1/2017,17.8%,31.0%,38.5%,45.1%,50.3%,68.0%,73.6%,76.4%,78.2%,79.5%,83.6%,90.3%,99.1%,100.0%,100.0%
12/2017,12/1/2017,1/1/2018,21.4%,30.0%,36.5%,42.9%,46.4%,58.4%,65.8%,69.7%,72.3%,74.3%,79.6%,87.7%,100.0%,100.0%,100.0%
01/2018,1/1/2018,2/1/2018,14.9%,29.0%,36.8%,43.6%,47.9%,60.1%,66.0%,69.6%,72.0%,74.0%,79.9%,88.9%,100.0%,100.0%,100.0%
02/2018,2/1/2018,3/1/2018,24.3%,37.8%,44.5%,49.6%,54.2%,65.6%,70.3%,74.1%,76.4%,78.0%,82.3%,89.2%,98.9%,100.0%,100.0%
03/2018,3/1/2018,4/1/2018,33.1%,42.8%,49.1%,53.0%,55.8%,66.1%,70.2%,72.8%,75.0%,77.0%,82.1%,89.4%,99.7%,100.0%,100.0%
04/2018,4/1/2018,5/1/2018,22.3%,33.0%,43.2%,49.9%,53.9%,65.8%,71.9%,75.7%,78.6%,81.4%,88.4%,100.0%,100.0%,100.0%,100.0%
