Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
2014-05-01,2014-05-01,2014-06-01,28.7%,51.6%,58.2%,66.4%,79.5%,86.6%,90.2%,92.9%,95.1%,100.0%,100.0%,100.0%,100.0%,100.0%
2014-06-01,2014-06-01,2014-07-01,22.1%,42.5%,49.2%,61.1%,77.4%,82.7%,86.3%,89.0%,90.9%,95.9%,100.0%,100.0%,100.0%,100.0%
2014-07-01,2014-07-01,2014-08-01,16.3%,30.8%,39.3%,48.9%,60.3%,69.0%,75.5%,79.9%,83.6%,91.7%,98.0%,100.0%,100.0%,100.0%
2014-08-01,2014-08-01,2014-09-01,13.7%,25.6%,34.5%,44.2%,60.6%,68.9%,75.7%,80.7%,84.1%,91.6%,97.6%,100.0%,100.0%,100.0%
2014-09-01,2014-09-01,2014-10-01,15.2%,22.6%,29.5%,40.5%,54.7%,64.3%,71.3%,76.9%,81.3%,90.5%,97.8%,100.0%,100.0%,100.0%
2014-10-01,2014-10-01,2014-11-01,8.7%,16.3%,23.5%,35.1%,54.5%,66.8%,75.8%,80.9%,84.5%,92.4%,97.9%,100.0%,100.0%,100.0%
2014-11-01,2014-11-01,2014-12-01,9.0%,16.4%,22.3%,32.9%,49.0%,60.7%,69.1%,74.5%,78.8%,88.3%,96.0%,100.0%,100.0%,100.0%
2014-12-01,2014-12-01,2015-01-01,8.8%,14.6%,18.7%,26.0%,38.8%,47.6%,55.1%,61.4%,66.3%,80.3%,92.5%,98.3%,100.0%,100.0%
2015-01-01,2015-01-01,2015-02-01,8.2%,14.6%,19.8%,28.7%,46.4%,60.3%,70.3%,76.2%,80.0%,89.2%,95.7%,99.4%,100.0%,100.0%
2015-02-01,2015-02-01,2015-03-01,8.4%,13.0%,17.3%,25.4%,38.1%,48.1%,55.9%,62.1%,67.4%,79.4%,90.6%,97.2%,100.0%,100.0%
2015-03-01,2015-03-01,2015-04-01,6.2%,10.4%,14.0%,19.7%,31.5%,41.6%,50.0%,57.0%,62.4%,76.8%,90.7%,96.9%,100.0%,100.0%
2015-04-01,2015-04-01,2015-05-01,3.1%,5.9%,8.8%,14.2%,25.4%,34.2%,42.0%,49.0%,54.6%,71.7%,88.7%,95.6%,100.0%,100.0%
2015-05-01,2015-05-01,2015-06-01,4.1%,8.2%,12.1%,19.7%,32.1%,40.4%,47.2%,53.2%,58.5%,74.3%,89.7%,95.9%,100.0%,100.0%
2015-06-01,2015-06-01,2015-07-01,4.9%,8.7%,12.4%,19.1%,31.2%,40.7%,47.9%,53.9%,59.1%,74.4%,88.5%,95.2%,100.0%,100.0%
2015-07-01,2015-07-01,2015-08-01,5.2%,10.2%,14.0%,20.9%,32.6%,41.6%,49.2%,55.1%,60.4%,74.5%,87.8%,94.6%,99.9%,100.0%
2015-08-01,2015-08-01,2015-09-01,3.6%,6.0%,8.4%,12.8%,22.3%,30.9%,38.9%,45.5%,51.3%,68.4%,84.3%,92.4%,98.8%,100.0%
2015-09-01,2015-09-01,2015-10-01,3.6%,7.0%,10.3%,15.3%,25.6%,33.4%,40.3%,46.6%,51.6%,66.5%,83.9%,92.3%,98.6%,100.0%
2015-10-01,2015-10-01,2015-11-01,2.8%,5.3%,7.6%,12.0%,21.9%,30.0%,36.7%,43.0%,48.6%,65.6%,84.4%,92.8%,98.8%,100.0%
2015-11-01,2015-11-01,2015-12-01,3.1%,5.3%,7.6%,11.6%,20.1%,27.3%,34.0%,39.9%,45.4%,60.5%,78.9%,90.1%,98.2%,100.0%
2015-12-01,2015-12-01,2016-01-01,3.7%,7.3%,10.4%,15.5%,25.7%,33.0%,38.6%,43.7%,48.0%,62.2%,80.7%,90.9%,98.3%,100.0%
2016-01-01,2016-01-01,2016-02-01,3.6%,6.2%,8.5%,12.9%,22.4%,30.3%,37.1%,42.9%,47.5%,61.7%,80.7%,90.8%,97.8%,100.0%
2016-02-01,2016-02-01,2016-03-01,2.8%,5.2%,7.4%,11.2%,20.0%,27.1%,33.1%,38.4%,43.3%,58.4%,78.5%,90.3%,97.6%,100.0%
2016-03-01,2016-03-01,2016-04-01,4.1%,7.9%,10.2%,14.6%,23.3%,29.3%,34.3%,39.1%,43.6%,57.4%,76.1%,87.9%,96.3%,100.0%
2016-04-01,2016-04-01,2016-05-01,4.3%,8.1%,10.7%,15.0%,23.0%,29.6%,35.5%,40.8%,45.1%,58.1%,74.8%,86.5%,95.7%,100.0%
2016-05-01,2016-05-01,2016-06-01,3.6%,6.3%,8.4%,12.1%,20.6%,27.6%,33.3%,38.2%,42.4%,55.8%,73.5%,86.5%,95.5%,100.0%
2016-06-01,2016-06-01,2016-07-01,5.1%,7.9%,10.0%,14.0%,21.9%,28.0%,32.8%,37.1%,41.2%,53.7%,71.7%,85.2%,94.5%,99.8%
2016-07-01,2016-07-01,2016-08-01,5.1%,8.0%,9.9%,13.5%,20.5%,25.9%,30.6%,35.0%,38.9%,50.9%,68.0%,82.3%,93.2%,99.3%
2016-08-01,2016-08-01,2016-09-01,2.9%,5.3%,7.1%,10.2%,16.5%,21.9%,26.9%,31.7%,35.9%,48.2%,66.7%,82.0%,92.7%,98.2%
2016-09-01,2016-09-01,2016-10-01,2.9%,4.7%,6.4%,9.3%,16.1%,21.8%,26.7%,31.2%,35.4%,48.7%,67.1%,83.1%,92.6%,98.1%
2016-10-01,2016-10-01,2016-11-01,2.5%,4.9%,7.0%,10.7%,17.8%,23.6%,28.6%,33.1%,36.9%,48.3%,65.2%,79.7%,91.2%,97.1%
2016-11-01,2016-11-01,2016-12-01,2.0%,3.7%,5.3%,8.5%,15.4%,21.4%,26.3%,30.8%,34.8%,47.1%,65.1%,80.3%,90.9%,96.7%
2016-12-01,2016-12-01,2017-01-01,2.2%,4.3%,6.4%,10.3%,17.7%,22.8%,27.1%,31.0%,34.7%,46.4%,63.8%,78.2%,90.3%,96.6%
2017-01-01,2017-01-01,2017-02-01,3.6%,5.8%,7.9%,11.6%,18.3%,23.1%,27.6%,31.7%,35.2%,46.3%,63.1%,78.8%,90.3%,96.3%
2017-02-01,2017-02-01,2017-03-01,2.4%,4.7%,6.5%,9.7%,16.1%,21.4%,26.0%,30.0%,33.4%,43.0%,59.7%,75.8%,89.2%,95.9%
2017-03-01,2017-03-01,2017-04-01,3.9%,5.7%,7.3%,10.4%,16.8%,21.5%,25.7%,29.3%,32.5%,42.5%,60.1%,76.4%,88.3%,94.7%
2017-04-01,2017-04-01,2017-05-01,3.9%,6.4%,8.1%,11.0%,17.3%,22.3%,26.3%,29.8%,33.2%,43.8%,60.5%,75.3%,87.6%,94.6%
2017-05-01,2017-05-01,2017-06-01,3.9%,5.3%,6.7%,9.3%,14.8%,19.5%,23.7%,27.3%,30.6%,40.6%,56.8%,73.8%,87.1%,94.2%
2017-06-01,2017-06-01,2017-07-01,3.0%,5.0%,6.6%,9.2%,15.0%,19.8%,23.9%,27.6%,31.0%,41.5%,57.9%,74.8%,87.6%,94.5%
2017-07-01,2017-07-01,2017-08-01,2.0%,3.9%,5.7%,8.8%,14.4%,19.1%,23.2%,27.0%,30.5%,41.1%,57.9%,73.3%,86.4%,93.6%
2017-08-01,2017-08-01,2017-09-01,4.2%,7.4%,9.3%,12.6%,18.1%,22.4%,26.1%,29.3%,32.1%,41.5%,57.6%,73.2%,86.7%,93.5%
2017-09-01,2017-09-01,2017-10-01,2.3%,4.4%,6.5%,10.4%,17.4%,22.6%,26.3%,29.8%,32.9%,43.1%,58.9%,73.6%,87.0%,94.0%
2017-10-01,2017-10-01,2017-11-01,2.8%,5.3%,7.2%,10.3%,15.9%,20.1%,23.9%,27.2%,30.2%,40.1%,56.0%,71.6%,85.4%,92.4%
2017-11-01,2017-11-01,2017-12-01,2.7%,4.7%,6.4%,9.4%,15.3%,19.6%,23.4%,26.8%,29.7%,39.3%,55.6%,70.5%,83.7%,91.0%
2017-12-01,2017-12-01,2018-01-01,2.7%,4.8%,6.4%,9.4%,15.3%,20.3%,24.5%,28.0%,31.1%,40.5%,56.2%,70.5%,83.8%,91.7%
2018-01-01,2018-01-01,2018-02-01,2.6%,4.9%,7.1%,10.3%,15.7%,19.7%,23.3%,26.6%,29.6%,38.7%,53.2%,67.7%,81.9%,89.8%
2018-02-01,2018-02-01,2018-03-01,2.4%,4.2%,5.9%,8.7%,14.1%,18.0%,21.4%,24.2%,26.9%,35.0%,48.7%,64.0%,80.5%,89.1%
2018-03-01,2018-03-01,2018-04-01,3.1%,6.1%,8.1%,11.6%,17.4%,21.6%,25.0%,28.1%,30.8%,39.1%,52.3%,66.2%,80.4%,88.7%
2018-04-01,2018-04-01,2018-05-01,2.8%,5.1%,7.2%,10.8%,16.8%,21.2%,24.6%,27.9%,30.7%,40.0%,54.3%,68.9%,84.9%,95.2%
Quarter from 2014-01,2014-01-01,2014-04-01,22.1%,38.7%,53.6%,66.5%,80.3%,86.5%,90.8%,93.2%,94.3%,97.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2014-04,2014-04-01,2014-07-01,14.7%,28.3%,39.9%,56.7%,73.2%,79.1%,83.0%,86.0%,88.4%,93.3%,98.1%,100.0%,100.0%,100.0%
Quarter from 2014-07,2014-07-01,2014-10-01,15.0%,26.1%,33.3%,43.0%,55.8%,62.9%,68.6%,73.0%,76.7%,86.5%,94.6%,98.3%,100.0%,100.0%
Quarter from 2014-10,2014-10-01,2015-01-01,8.8%,15.0%,20.3%,28.8%,44.7%,55.5%,62.5%,67.3%,71.5%,81.7%,91.8%,97.0%,100.0%,100.0%
Quarter from 2015-01,2015-01-01,2015-04-01,6.3%,10.6%,14.6%,21.4%,35.2%,46.1%,53.4%,58.8%,63.3%,77.1%,89.4%,95.3%,99.1%,100.0%
Quarter from 2015-04,2015-04-01,2015-07-01,3.6%,6.7%,9.4%,14.4%,24.9%,33.8%,41.3%,47.5%,53.1%,69.4%,87.4%,93.4%,98.1%,100.0%
Quarter from 2015-07,2015-07-01,2015-10-01,2.8%,5.5%,8.2%,13.2%,22.9%,30.3%,37.0%,42.7%,47.5%,62.6%,82.7%,90.9%,96.5%,99.3%
Quarter from 2015-10,2015-10-01,2016-01-01,2.2%,4.5%,6.6%,10.5%,19.0%,26.1%,32.1%,37.5%,42.3%,58.0%,78.8%,88.8%,95.3%,98.7%
Quarter from 2016-01,2016-01-01,2016-04-01,2.9%,5.3%,7.3%,11.0%,18.8%,25.4%,31.3%,36.5%,41.0%,54.7%,74.9%,87.7%,94.5%,97.9%
Quarter from 2016-04,2016-04-01,2016-07-01,4.2%,5.9%,7.6%,10.9%,18.1%,24.2%,29.8%,34.5%,38.6%,51.7%,71.2%,84.0%,92.1%,96.4%
Quarter from 2016-07,2016-07-01,2016-10-01,3.4%,4.8%,6.3%,9.1%,15.3%,20.6%,25.2%,29.4%,33.3%,45.3%,63.2%,79.8%,90.0%,94.6%
Quarter from 2016-10,2016-10-01,2017-01-01,1.9%,3.9%,5.6%,8.7%,15.1%,20.2%,24.7%,28.7%,32.4%,44.0%,61.6%,77.0%,87.8%,93.1%
Quarter from 2017-01,2017-01-01,2017-04-01,2.9%,5.4%,7.0%,9.6%,15.1%,19.6%,23.4%,26.8%,29.9%,39.6%,56.8%,73.9%,86.5%,92.0%
Quarter from 2017-04,2017-04-01,2017-07-01,3.6%,5.3%,6.7%,9.2%,14.1%,18.3%,22.0%,25.4%,28.6%,39.0%,55.3%,72.4%,85.0%,90.6%
Quarter from 2017-07,2017-07-01,2017-10-01,2.8%,5.0%,7.1%,10.3%,15.5%,19.4%,22.9%,26.1%,29.1%,39.4%,54.5%,70.3%,84.2%,90.1%
Quarter from 2017-10,2017-10-01,2018-01-01,2.6%,4.1%,5.6%,8.4%,14.1%,18.3%,21.8%,24.8%,27.6%,36.7%,52.7%,68.2%,81.7%,87.7%
Quarter from 2018-01,2018-01-01,2018-04-01,2.7%,4.6%,6.3%,9.0%,14.7%,18.5%,21.6%,24.4%,26.8%,34.6%,47.6%,62.7%,77.9%,85.0%
Quarter from 2018-04,2018-04-01,2018-07-01,2.8%,5.1%,7.2%,10.8%,16.8%,21.2%,24.6%,27.9%,30.7%,40.0%,54.3%,68.9%,84.9%,95.2%
